gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
91780100	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US			PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26					733.0								2926126	2926126	OCCURRENCE	USA022	USA022	1719129				CC_BY_4_0					2024-10-25T05:52:51.931Z		BASIS_OF_RECORD_INVALID
684009970	95c938a8-f762-11e1-a439-00145eb45e9a	0beca613-ba8b-11e3-8cfe-90b11c41863e	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US	Grand Canyon, Parashant National Mounument, Grand Wash	Arizona	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	36.288695	-113.996139	1162.0						2001-03-24	24	3	2001	2926126	2926126	PRESERVED_SPECIMEN	KU	KANU	364002		Duane N Atwood		CC_BY_4_0		Duane N Atwood; Stanley L Welsh; Larry C Higgins			2024-11-04T23:14:56.978Z		
4976615501	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/208176652	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		Nevada	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.902789	-116.858369	4.0						2024-04-10T18:05	10	4	2024	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	208176652		Chloe Novak	2024-04-19T23:08:58	CC_BY_NC_4_0	Chloe Novak	Chloe Novak			2024-11-02T16:28:45.692Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976265572	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/204091675	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.710842	-117.509803	4.0						2024-03-04T12:45	4	3	2024	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	204091675		Matt Berger	2024-03-27T01:21:58	CC_BY_4_0	Matt Berger	Matt Berger			2024-11-02T16:25:02.718Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976225798	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/108554756	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.838443	-115.769178							2022-03-12T10:54	12	3	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	108554756		Matt Guilliams	2022-03-14T14:23:35	CC_BY_NC_4_0	Amy (She/Her)	Amy (She/Her)			2024-11-02T15:38:49.072Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4975207865	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005627638	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata	I.M.Johnst.		Lower California; San Quentin Bay		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1889-01-01T00:00	1	1	1889	2926126	2926126	PRESERVED_SPECIMEN	K	Herbarium	K005627638	627a			CC_BY_4_0		Palmer, E. (Dr)			2024-11-07T23:19:49.943Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4975204912	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005627639	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata	I.M.Johnst.		Lower California; San Quentis Bay.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1889-01-01T00:00	1	1	1889	2926126	2926126	PRESERVED_SPECIMEN	K	Herbarium	K005627639	627			CC_BY_4_0		Palmer, E. (Dr)			2024-11-07T23:19:51.956Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4975166036	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005627640	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata	I.M.Johnst.	US	Death Valley (California); Surprise Cañon. Pansamint Moutains. California.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862					800.0				1891-04-26T00:00	26	4	1891	2926126	2926126	PRESERVED_SPECIMEN	K	Herbarium	K005627640	721			CC_BY_4_0		Coville, F.V.; Funston, F.			2024-11-07T23:18:21.465Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4975148557	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005627641	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata	I.M.Johnst.	US	California: Riverside County.; Indian Avenue, 0.5 mi SE of Highway 62, roadside.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1978-04-02T00:00	2	4	1978	2926126	2926126	PRESERVED_SPECIMEN	K	Herbarium	K005627641	437			CC_BY_4_0		Veno, B.A.			2024-11-07T23:18:04.010Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4975147669	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K005627637	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata	I.M.Johnst.		Guadalupe Island, off Lower California.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1875-01-01T00:00	1	1	1875	2926126	2926126	PRESERVED_SPECIMEN	K	Herbarium	K005627637	69a			CC_BY_4_0		Palmer, E.			2024-11-07T23:19:08.320Z	StillImage	INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
