ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
LP1A,02/11/2024 8:45:57 AM,36.37,36.37,0
LP1B,02/11/2024 8:46:58 AM,34.44,70.81,0
LP1C,02/11/2024 8:47:49 AM,35.11,105.92,0
LP2A,02/11/2024 8:48:39 AM,21.39,127.31,0
LP2B,02/11/2024 8:49:33 AM,18.45,145.76,0
LP2C,02/11/2024 8:50:38 AM,16.38,162.14,0
LP3A,02/11/2024 8:52:05 AM,20.21,182.35,0
LP3B,02/11/2024 8:52:49 AM,14.99,197.34,0
LP3C,02/11/2024 8:53:37 AM,19.91,217.25,0
LP4A,02/11/2024 8:54:30 AM,16.67,233.92,0
LP4B,02/11/2024 8:55:27 AM,11.51,245.43,0
LP4C,02/11/2024 8:56:18 AM,17.04,262.47,0
LP5A,02/11/2024 8:57:42 AM,31.12,293.59,0
LP5B,02/11/2024 8:58:27 AM,24.28,317.87,0
LP5C,02/11/2024 8:59:25 AM,26.16,344.03,0
LP6A,02/11/2024 9:00:31 AM,33.72,377.75,0
LP6B,02/11/2024 9:01:21 AM,29.88,407.63,0
LP6C,02/11/2024 9:02:19 AM,25.12,432.75,0
LP7A,02/11/2024 9:08:04 AM,15.63,448.38,0
LP7B,02/11/2024 9:09:04 AM,16.17,464.55,0
LP7C,02/11/2024 9:10:18 AM,17.59,482.14,0
LP8A,02/11/2024 9:11:24 AM,35.80,517.94,0
LP8B,02/11/2024 9:12:43 AM,27.67,545.61,0
LP8C,02/11/2024 9:13:37 AM,27.45,573.06,0
LP9A,02/11/2024 9:15:11 AM,61.82,634.88,0
LP9B,02/11/2024 9:16:12 AM,56.03,690.91,0
LP9C,02/11/2024 9:17:18 AM,52.83,743.74,0
LP10A,02/11/2024 9:18:23 AM,44.67,788.41,0
LP10B,02/11/2024 9:19:13 AM,51.04,839.45,0
LP10C,02/11/2024 9:20:18 AM,46.20,885.65,0
LP11A,02/11/2024 9:21:50 AM,41.21,926.86,0
LP11B,02/11/2024 9:22:48 AM,37.45,964.31,0
LP11C,02/11/2024 9:23:43 AM,39.35,1,003.66,0
LP12A,02/11/2024 9:30:53 AM,45.50,1,049.16,0
LP12B,02/11/2024 9:31:54 AM,43.95,1,093.11,0
LP12C,02/11/2024 9:33:17 AM,44.24,1,137.35,0
LP13A,02/11/2024 9:34:27 AM,26.60,1,163.95,0
LP13B,02/11/2024 9:35:18 AM,17.89,1,181.84,0
LP13C,02/11/2024 9:36:25 AM,17.09,1,198.93,0
LP14A,02/11/2024 9:37:51 AM,21.45,1,220.38,0
LP14B,02/11/2024 9:39:01 AM,29.74,1,250.12,0
LP14C,02/11/2024 9:40:14 AM,27.71,1,277.83,0
LP15A,02/11/2024 9:41:24 AM,61.06,1,338.89,0
LP15B,02/11/2024 9:42:23 AM,44.53,1,383.42,0
LP15C,02/11/2024 9:43:23 AM,45.10,1,428.52,0
LP16A,02/11/2024 9:44:30 AM,25.46,1,453.98,0
LP16B,02/11/2024 9:45:18 AM,36.60,1,490.58,0
LP16C,02/11/2024 9:46:09 AM,32.45,1,523.03,0
LP17A,02/11/2024 9:47:43 AM,27.40,1,550.43,0
LP17B,02/11/2024 9:49:00 AM,30.78,1,581.21,0
LP17C,02/11/2024 9:50:09 AM,23.58,1,604.79,0
LP18A,02/11/2024 9:51:16 AM,17.29,1,622.08,0
LP18B,02/11/2024 9:52:25 AM,25.11,1,647.19,0
LP18C,02/11/2024 9:53:32 AM,19.37,1,666.56,0
LP19A,02/11/2024 9:54:40 AM,22.13,1,688.69,0
LP19B,02/11/2024 9:55:36 AM,20.40,1,709.09,0
LP19C,02/11/2024 9:56:16 AM,17.92,1,727.01,0
LP20A,02/11/2024 9:57:16 AM,18.93,1,745.94,0
LP20B,02/11/2024 9:58:20 AM,20.69,1,766.63,0
LP20C,02/11/2024 9:59:15 AM,19.18,1,785.81,0
LP21A,02/11/2024 10:05:28 AM,23.30,1,809.11,0
LP21B,02/11/2024 10:06:31 AM,18.67,1,827.78,0
LP21C,02/11/2024 10:07:42 AM,17.23,1,845.01,0
LP22A,02/11/2024 10:08:49 AM,18.90,1,863.91,0
LP22B,02/11/2024 10:10:00 AM,15.83,1,879.74,0
LP22C,02/11/2024 10:10:57 AM,16.22,1,895.96,0
LP23A,02/11/2024 10:11:57 AM,37.79,1,933.75,0
LP23B,02/11/2024 10:12:54 AM,35.53,1,969.28,0
LP23C,02/11/2024 10:13:45 AM,35.46,2,004.74,0
LP24A,02/11/2024 10:14:40 AM,38.58,2,043.32,0
LP24B,02/11/2024 10:15:33 AM,31.76,2,075.08,0
LP24C,02/11/2024 10:16:42 AM,31.81,2,106.89,0
LP25A,02/11/2024 10:18:33 AM,53.47,2,160.36,0
LP25B,02/11/2024 10:19:53 AM,39.81,2,200.17,0
LP25C,02/11/2024 10:20:53 AM,24.70,2,224.87,0
LP26A,02/11/2024 10:27:03 AM,37.79,2,262.66,0
LP26B,02/11/2024 10:28:02 AM,31.70,2,294.36,0
LP26C,02/11/2024 10:29:00 AM,27.86,2,322.22,0
LP27A,02/11/2024 10:30:06 AM,26.74,2,348.96,0
LP27B,02/11/2024 10:31:05 AM,21.59,2,370.55,0
LP27C,02/11/2024 10:32:09 AM,23.74,2,394.29,0
LP28A,02/11/2024 10:33:25 AM,41.39,2,435.68,0
LP28B,02/11/2024 10:34:20 AM,33.05,2,468.73,0
LP28C,02/11/2024 10:35:24 AM,28.30,2,497.03,0
LP29A,02/11/2024 10:36:17 AM,33.91,2,530.94,0
LP29B,02/11/2024 10:37:10 AM,40.33,2,571.27,0
LP29C,02/11/2024 10:38:14 AM,35.61,2,606.88,0
LP30A,02/11/2024 10:39:09 AM,41.87,2,648.75,0
LP30B,02/11/2024 10:39:58 AM,46.43,2,695.18,0
LP30C,02/11/2024 10:40:53 AM,37.18,2,732.36,0
