ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
HL1A,03/06/2024 8:25:26 AM,8.09,8.09,0
HL1B,03/06/2024 8:26:47 AM,8.33,16.42,0
HL1C,03/06/2024 8:27:40 AM,7.63,24.05,0
HL2A,03/06/2024 8:28:43 AM,11.56,35.61,0
HL2B,03/06/2024 8:30:00 AM,13.05,48.66,0
HL2C,03/06/2024 8:30:54 AM,12.32,60.98,0
HL3A,03/06/2024 8:32:23 AM,13.42,74.40,0
HL3B,03/06/2024 8:33:33 AM,14.98,89.38,0
HL3C,03/06/2024 8:35:05 AM,6.70,96.08,0
HL4A,03/06/2024 8:36:04 AM,18.62,114.70,0
HL4B,03/06/2024 8:36:56 AM,15.27,129.97,0
HL4C,03/06/2024 8:37:47 AM,13.80,143.77,0
HL5A,03/06/2024 8:38:48 AM,18.67,162.44,0
HL5B,03/06/2024 8:39:42 AM,14.81,177.25,0
HL5C,03/06/2024 8:40:48 AM,17.69,194.94,0
HL6A,03/06/2024 8:41:35 AM,15.89,210.83,0
HL6B,03/06/2024 8:42:28 AM,15.31,226.14,0
HL6C,03/06/2024 8:43:21 AM,12.88,239.02,0
HL7A,03/06/2024 8:44:20 AM,26.32,265.34,0
HL7B,03/06/2024 8:45:29 AM,17.87,283.21,0
HL7C,03/06/2024 8:46:36 AM,23.89,307.10,0
HL8A,03/06/2024 8:47:35 AM,18.41,325.51,0
HL8B,03/06/2024 8:48:56 AM,13.09,338.60,0
HL8C,03/06/2024 8:50:06 AM,13.41,352.01,0
HL9A,03/06/2024 8:51:04 AM,17.99,370.00,0
HL9B,03/06/2024 8:52:00 AM,21.52,391.52,0
HL9C,03/06/2024 8:52:57 AM,18.10,409.62,0
HL10A,03/06/2024 8:54:11 AM,12.59,422.21,0
HL10B,03/06/2024 8:55:03 AM,13.10,435.31,0
HL10C,03/06/2024 8:55:50 AM,12.87,448.18,0
HL11A,03/06/2024 9:05:10 AM,9.55,457.73,0
HL11B,03/06/2024 9:06:14 AM,10.57,468.30,0
HL11C,03/06/2024 9:07:12 AM,6.91,475.21,0
HL12A,03/06/2024 9:08:19 AM,11.70,486.91,0
HL12B,03/06/2024 9:09:28 AM,11.75,498.66,0
HL12C,03/06/2024 9:10:28 AM,9.87,508.53,0
HL13A,03/06/2024 9:11:17 AM,12.82,521.35,0
HL13B,03/06/2024 9:12:11 AM,11.46,532.81,0
HL13C,03/06/2024 9:13:10 AM,10.05,542.86,0
HL14A,03/06/2024 9:14:14 AM,14.51,557.37,0
HL14B,03/06/2024 9:15:07 AM,9.46,566.83,0
HL14C,03/06/2024 9:16:03 AM,11.36,578.19,0
HL15A,03/06/2024 9:17:02 AM,16.00,594.19,0
HL15B,03/06/2024 9:18:02 AM,15.11,609.30,0
HL15C,03/06/2024 9:18:53 AM,12.26,621.56,0
HL16A,03/06/2024 9:19:46 AM,17.93,639.49,0
HL16B,03/06/2024 9:20:33 AM,20.33,659.82,0
HL16C,03/06/2024 9:21:41 AM,21.71,681.53,0
HL17A,03/06/2024 9:22:39 AM,16.49,698.02,0
HL17B,03/06/2024 9:23:30 AM,18.62,716.64,0
HL17C,03/06/2024 9:24:28 AM,12.16,728.80,0
HL18A,03/06/2024 9:25:27 AM,15.14,743.94,0
HL18B,03/06/2024 9:26:21 AM,14.72,758.66,0
HL18C,03/06/2024 9:27:19 AM,9.62,768.28,0
HL19A,03/06/2024 9:28:34 AM,16.65,784.93,0
HL19B,03/06/2024 9:29:30 AM,15.16,800.09,0
