ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
OV1A,02/04/2024 9:28:50 AM,47.58,47.58,0
OV1B,02/04/2024 9:30:36 AM,77.93,125.51,0
OV1C,02/04/2024 9:32:15 AM,84.08,209.59,0
OV2A,02/04/2024 9:34:46 AM,54.06,263.65,0
OV2B,02/04/2024 9:37:19 AM,64.36,328.01,0
OV2C,02/04/2024 9:39:13 AM,74.50,402.51,0
OV3A,02/04/2024 9:41:09 AM,49.03,451.54,0
OV3B,02/04/2024 9:42:21 AM,48.29,499.83,0
OV3C,02/04/2024 9:43:50 AM,43.67,543.50,0
OV4A,02/04/2024 9:45:23 AM,24.27,567.77,0
OV4B,02/04/2024 9:47:28 AM,28.26,596.03,0
OV4C,02/04/2024 9:48:50 AM,45.97,642.00,0
OV5A,02/04/2024 9:54:23 AM,42.33,684.33,0
OV5B,02/04/2024 9:55:29 AM,53.57,737.90,0
OV5C,02/04/2024 9:56:34 AM,47.99,785.89,0
OV6A,02/04/2024 9:57:32 AM,50.22,836.11,0
OV6B,02/04/2024 9:58:32 AM,71.37,907.48,0
OV6C,02/04/2024 9:59:33 AM,78.19,985.67,0
OV7A,02/04/2024 10:01:41 AM,58.22,1,043.89,0
OV7B,02/04/2024 10:03:06 AM,49.19,1,093.08,0
OV7C,02/04/2024 10:04:10 AM,78.62,1,171.70,0
OV8A,02/04/2024 10:08:08 AM,24.70,1,196.40,0
OV8B,02/04/2024 10:09:13 AM,33.86,1,230.26,0
OV8C,02/04/2024 10:10:18 AM,41.93,1,272.19,0
OV9A,02/04/2024 10:15:06 AM,55.31,1,327.50,0
OV9B,02/04/2024 10:16:14 AM,63.24,1,390.74,0
OV9C,02/04/2024 10:18:17 AM,41.37,1,432.11,0
OV10A,02/04/2024 10:20:47 AM,47.37,1,479.48,0
OV10B,02/04/2024 10:21:48 AM,39.73,1,519.21,0
OV10C,02/04/2024 10:22:45 AM,25.69,1,544.90,0
OV11A,02/04/2024 10:25:24 AM,50.18,1,595.08,0
OV11B,02/04/2024 10:26:45 AM,58.58,1,653.66,0
OV11C,02/04/2024 10:28:03 AM,57.29,1,710.95,0
OV12A,02/04/2024 10:30:40 AM,34.78,1,745.73,0
OV12B,02/04/2024 10:32:04 AM,52.70,1,798.43,0
OV12C,02/04/2024 10:33:54 AM,47.81,1,846.24,0
