ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
PL1A,03/03/2024 10:44:18 AM,19.12,19.12,0
PL1B,03/03/2024 10:45:28 AM,18.28,37.40,0
PL1C,03/03/2024 10:46:50 AM,17.64,55.04,0
PL2A,03/03/2024 10:48:27 AM,37.49,92.53,0
PL2B,03/03/2024 10:49:23 AM,23.61,116.14,0
PL2C,03/03/2024 10:50:23 AM,15.80,131.94,0
PL3A,03/03/2024 10:51:27 AM,45.03,176.97,0
PL3B,03/03/2024 10:52:25 AM,22.74,199.71,0
PL3C,03/03/2024 10:53:19 AM,30.82,230.53,0
PL4A,03/03/2024 10:54:43 AM,22.10,252.63,0
PL4B,03/03/2024 10:55:54 AM,21.65,274.28,0
PL4C,03/03/2024 10:56:58 AM,30.92,305.20,0
PL5A,03/03/2024 10:57:50 AM,26.13,331.33,0
PL5B,03/03/2024 10:58:42 AM,23.02,354.35,0
PL5C,03/03/2024 10:59:45 AM,21.71,376.06,0
PL6A,03/03/2024 11:32:17 AM,29.36,405.42,0
PL6B,03/03/2024 11:33:19 AM,20.67,426.09,0
PL6C,03/03/2024 11:34:59 AM,33.46,459.55,0
PL7A,03/03/2024 11:36:36 AM,19.45,479.00,0
PL7B,03/03/2024 11:37:31 AM,20.28,499.28,0
PL7C,03/03/2024 11:38:41 AM,15.83,515.11,0
PL8A,03/03/2024 11:39:55 AM,27.43,542.54,0
PL8B,03/03/2024 11:41:01 AM,35.09,577.63,0
PL8C,03/03/2024 11:42:11 AM,17.62,595.25,0
PL9A,03/03/2024 11:43:07 AM,34.37,629.62,0
PL9B,03/03/2024 11:44:03 AM,33.84,663.46,0
PL9C,03/03/2024 11:45:03 AM,22.37,685.83,0
PL10A,03/03/2024 11:46:17 AM,36.89,722.72,0
PL10B,03/03/2024 11:47:19 AM,40.50,763.22,0
PL10C,03/03/2024 11:48:16 AM,27.53,790.75,0
PL11A,03/03/2024 11:49:24 AM,27.66,818.41,0
PL11B,03/03/2024 11:50:18 AM,14.34,832.75,0
PL11C,03/03/2024 11:51:21 AM,20.60,853.35,0
