ID,Plant,Leaf,Timestamp,leaf_area_(mm²),leaf_dry_mass_(mg),SLA_(mm²/mg),elevation,mean_temp,mean_precip,mean_VPD
OV1A,1,A,2/4/24 9:28,47.58,3.024,15.73412698,2499,15.36111111,156.7434,23.72717
OV1B,1,B,2/4/24 9:30,77.93,3.817,20.41655751,2499,15.36111111,156.7434,23.72717
OV1C,1,C,2/4/24 9:32,84.08,3.585,23.45327755,2499,15.36111111,156.7434,23.72717
OV2A,2,A,2/4/24 9:34,54.06,2.414,22.3943662,2499,15.36111111,156.7434,23.72717
OV2B,2,B,2/4/24 9:37,64.36,2.822,22.8065202,2499,15.36111111,156.7434,23.72717
OV2C,2,C,2/4/24 9:39,74.5,2.849,26.14952615,2499,15.36111111,156.7434,23.72717
OV3A,3,A,2/4/24 9:41,49.03,1.878,26.10756124,2499,15.36111111,156.7434,23.72717
OV3B,3,B,2/4/24 9:42,48.29,2.188,22.07038391,2499,15.36111111,156.7434,23.72717
OV3C,3,C,2/4/24 9:43,43.67,1.954,22.34902764,2499,15.36111111,156.7434,23.72717
OV4A,4,A,2/4/24 9:45,24.27,1.192,20.36073826,2499,15.36111111,156.7434,23.72717
OV4B,4,B,2/4/24 9:47,28.26,1.324,21.34441088,2499,15.36111111,156.7434,23.72717
OV4C,4,C,2/4/24 9:48,45.97,2.075,22.15421687,2499,15.36111111,156.7434,23.72717
OV5A,5,A,2/4/24 9:54,42.33,1.795,23.5821727,2499,15.36111111,156.7434,23.72717
OV5B,5,A,2/4/24 9:55,53.57,2.101,25.4973822,2499,15.36111111,156.7434,23.72717
OV5C,5,B,2/4/24 9:56,47.99,1.97,24.36040609,2499,15.36111111,156.7434,23.72717
OV6A,6,C,2/4/24 9:57,50.22,2.292,21.91099476,2499,15.36111111,156.7434,23.72717
OV6B,6,A,2/4/24 9:58,71.37,2.964,24.07894737,2499,15.36111111,156.7434,23.72717
OV6C,6,B,2/4/24 9:59,78.19,3.52,22.21306818,2499,15.36111111,156.7434,23.72717
OV7A,7,C,2/4/24 10:01,58.22,2.536,22.95741325,2499,15.36111111,156.7434,23.72717
OV7B,7,A,2/4/24 10:03,49.19,2.169,22.67865376,2499,15.36111111,156.7434,23.72717
OV7C,7,B,2/4/24 10:04,78.62,3.312,23.73792271,2499,15.36111111,156.7434,23.72717
OV8A,8,C,2/4/24 10:08,24.7,1.296,19.05864198,2499,15.36111111,156.7434,23.72717
OV8B,8,A,2/4/24 10:09,33.86,1.755,19.29344729,2499,15.36111111,156.7434,23.72717
OV8C,8,B,2/4/24 10:10,41.93,1.869,22.43445693,2499,15.36111111,156.7434,23.72717
OV9A,9,C,2/4/24 10:15,55.31,1.95,28.36410256,2499,15.36111111,156.7434,23.72717
OV9B,9,A,2/4/24 10:16,63.24,2.84,22.26760563,2499,15.36111111,156.7434,23.72717
OV9C,9,A,2/4/24 10:18,41.37,1.699,24.34961742,2499,15.36111111,156.7434,23.72717
