ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
AJ1A,02/09/2024 10:36:19 AM,23.75,23.75,0
AJ1B,02/09/2024 10:37:41 AM,29.72,53.47,0
AJ1C,02/09/2024 10:38:43 AM,17.67,71.14,0
AJ2A,02/09/2024 10:40:30 AM,22.59,93.73,0
AJ2B,02/09/2024 10:41:38 AM,14.10,107.83,0
AJ2C,02/09/2024 10:42:41 AM,15.46,123.29,0
AJ3A,02/09/2024 10:43:44 AM,31.55,154.84,0
AJ3B,02/09/2024 10:44:50 AM,22.09,176.93,0
AJ3C,02/09/2024 10:46:04 AM,24.99,201.92,0
AJ4A,02/09/2024 10:47:14 AM,18.80,220.72,0
AJ4B,02/09/2024 10:48:02 AM,11.32,232.04,0
AJ4C,02/09/2024 10:48:52 AM,16.38,248.42,0
AJ5A,02/09/2024 10:49:47 AM,39.66,288.08,0
AJ5B,02/09/2024 10:50:42 AM,34.87,322.95,0
AJ5C,02/09/2024 10:52:22 AM,47.24,370.19,0
AJ6A,02/09/2024 10:53:44 AM,16.81,387.00,0
AJ6B,02/09/2024 10:54:49 AM,17.94,404.94,0
AJ6C,02/09/2024 10:56:10 AM,7.61,412.55,0
AJ7A,02/09/2024 10:57:14 AM,15.79,428.34,0
AJ7B,02/09/2024 10:58:12 AM,19.70,448.04,0
AJ7C,02/09/2024 10:59:41 AM,11.70,459.74,0
AJ8A,02/09/2024 11:00:31 AM,17.82,477.56,0
AJ8B,02/09/2024 11:01:30 AM,13.64,491.20,0
AJ8C,02/09/2024 11:02:23 AM,16.08,507.28,0
AJ9A,02/09/2024 11:03:18 AM,9.22,516.50,0
AJ9B,02/09/2024 11:04:20 AM,11.51,528.01,0
AJ9C,02/09/2024 11:05:29 AM,14.32,542.33,0
AJ10A,02/09/2024 11:07:06 AM,18.36,560.69,0
AJ10B,02/09/2024 11:08:09 AM,25.58,586.27,0
AJ10C,02/09/2024 11:09:04 AM,16.84,603.11,0
AJ11A,02/09/2024 11:15:39 AM,27.54,630.65,0
AJ11B,02/09/2024 11:16:29 AM,20.67,651.32,0
AJ11C,02/09/2024 11:17:17 AM,11.71,663.03,0
AJ12A,02/09/2024 11:18:12 AM,19.30,682.33,0
AJ12B,02/09/2024 11:19:09 AM,19.66,701.99,0
AJ12C,02/09/2024 11:20:16 AM,22.48,724.47,0
AJ13A,02/09/2024 11:21:23 AM,23.76,748.23,0
AJ13B,02/09/2024 11:22:18 AM,20.44,768.67,0
AJ13C,02/09/2024 11:23:25 AM,20.73,789.40,0
AJ14A,02/09/2024 11:24:21 AM,22.65,812.05,0
AJ14B,02/09/2024 11:25:31 AM,12.36,824.41,0
AJ14C,02/09/2024 11:26:30 AM,20.10,844.51,0
AJ15A,02/09/2024 11:28:01 AM,9.75,854.26,0
AJ15B,02/09/2024 11:29:00 AM,18.15,872.41,0
AJ15C,02/09/2024 11:30:06 AM,27.56,899.97,0
AJ16A,02/09/2024 11:31:15 AM,12.32,912.29,0
AJ16B,02/09/2024 11:32:10 AM,26.52,938.81,0
AJ16C,02/09/2024 11:33:10 AM,12.01,950.82,0
AJ17A,02/09/2024 11:34:14 AM,24.71,975.53,0
AJ17B,02/09/2024 11:35:22 AM,11.66,987.19,0
AJ26B,02/09/2024 12:07:12 PM,15.31,1,002.50,0
AJ26C,02/09/2024 12:08:42 PM,7.63,1,010.13,0
AJ27A,02/09/2024 12:09:36 PM,31.40,1,041.53,0
AJ27B,02/09/2024 12:10:20 PM,18.81,1,060.34,0
AJ27C,02/09/2024 12:12:29 PM,23.09,1,083.43,0
AJ28A,02/09/2024 12:16:03 PM,20.84,1,104.27,0
AJ28B,02/09/2024 12:17:07 PM,32.56,1,136.83,0
AJ28C,02/09/2024 12:18:21 PM,31.34,1,168.17,0
AJ29A,02/09/2024 12:19:20 PM,20.68,1,188.85,0
AJ29B,02/09/2024 12:20:09 PM,21.94,1,210.79,0
AJ29C,02/09/2024 12:21:05 PM,26.82,1,237.61,0
AJ30A,02/09/2024 12:22:20 PM,26.34,1,263.95,0
AJ30B,02/09/2024 12:23:21 PM,31.15,1,295.10,0
AJ30C,02/09/2024 12:24:07 PM,31.57,1,326.67,0
