ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
BM1A,02/04/2024 3:58:05 PM,31.64,31.64,0
BM1B,02/04/2024 3:59:19 PM,40.41,72.05,0
BM1C,02/04/2024 4:00:05 PM,35.89,107.94,0
BM2A,02/04/2024 4:00:56 PM,39.91,147.85,0
BM2B,02/04/2024 4:01:50 PM,39.52,187.37,0
BM2C,02/04/2024 4:02:41 PM,38.23,225.60,0
BM3A,02/04/2024 4:03:35 PM,25.69,251.29,0
BM3B,02/04/2024 4:04:21 PM,26.53,277.82,0
BM3C,02/04/2024 4:05:08 PM,23.94,301.76,0
BM4A,02/04/2024 4:06:13 PM,19.37,321.13,0
BM4B,02/04/2024 4:07:11 PM,26.45,347.58,0
BM4C,02/04/2024 4:08:05 PM,23.23,370.81,0
BM5A,02/04/2024 4:09:14 PM,19.39,390.20,0
BM5B,02/04/2024 4:10:07 PM,18.77,408.97,0
BM5C,02/04/2024 4:11:07 PM,19.80,428.77,0
BM6A,02/04/2024 4:12:00 PM,23.27,452.04,0
BM6B,02/04/2024 4:12:48 PM,13.79,465.83,0
BM6C,02/04/2024 4:13:37 PM,20.41,486.24,0
BM7A,02/04/2024 4:18:06 PM,31.07,517.31,0
BM7B,02/04/2024 4:18:55 PM,23.94,541.25,0
BM7C,02/04/2024 4:19:33 PM,23.35,564.60,0
BM8A,02/04/2024 4:20:21 PM,31.94,596.54,0
BM8B,02/04/2024 4:21:21 PM,24.88,621.42,0
BM8C,02/04/2024 4:22:09 PM,29.87,651.29,0
BM9A,02/04/2024 4:23:09 PM,21.80,673.09,0
BM9B,02/04/2024 4:23:55 PM,23.87,696.96,0
BM9C,02/04/2024 4:24:41 PM,19.45,716.41,0
BM10A,02/04/2024 4:25:31 PM,37.34,753.75,0
BM10B,02/04/2024 4:26:11 PM,40.23,793.98,0
BM10C,02/04/2024 4:26:59 PM,33.62,827.60,0
BM11A,02/04/2024 4:28:00 PM,34.01,861.61,0
BM11B,02/04/2024 4:28:45 PM,28.53,890.14,0
BM11C,02/04/2024 4:29:41 PM,33.09,923.23,0
BM12A,02/04/2024 4:30:38 PM,35.06,958.29,0
BM12B,02/04/2024 4:31:27 PM,41.25,999.54,0
BM12C,02/04/2024 4:32:13 PM,47.76,1,047.30,0
BM13A,02/04/2024 4:38:14 PM,25.51,1,072.81,0
BM13B,02/04/2024 4:38:58 PM,26.76,1,099.57,0
BM13C,02/04/2024 4:40:19 PM,26.61,1,126.18,0
BM14A,02/04/2024 4:41:25 PM,29.26,1,155.44,0
BM14B,02/04/2024 4:42:27 PM,29.27,1,184.71,0
BM14C,02/04/2024 4:43:15 PM,20.18,1,204.89,0
BM15A,02/04/2024 4:44:03 PM,19.34,1,224.23,0
BM15B,02/04/2024 4:44:55 PM,20.09,1,244.32,0
BM15C,02/04/2024 4:45:45 PM,12.50,1,256.82,0
BM16A,02/04/2024 4:46:42 PM,16.26,1,273.08,0
BM16B,02/04/2024 4:47:34 PM,14.91,1,287.99,0
BM16C,02/04/2024 4:48:25 PM,22.57,1,310.56,0
BM17A,02/04/2024 4:49:18 PM,21.72,1,332.28,0
BM17B,02/04/2024 4:50:06 PM,20.97,1,353.25,0
BM17C,02/04/2024 4:50:57 PM,21.48,1,374.73,0
BM18A,02/04/2024 4:51:59 PM,27.80,1,402.53,0
BM18B,02/04/2024 4:52:51 PM,31.60,1,434.13,0
BM18C,02/04/2024 4:53:43 PM,28.90,1,463.03,0
BM19A,02/04/2024 4:57:51 PM,25.36,1,488.39,0
BM19B,02/04/2024 4:58:51 PM,24.07,1,512.46,0
BM19C,02/04/2024 4:59:38 PM,20.43,1,532.89,0
BM20A,02/04/2024 5:00:30 PM,25.70,1,558.59,0
BM20B,02/04/2024 5:01:14 PM,26.78,1,585.37,0
BM20C,02/04/2024 5:02:06 PM,17.47,1,602.84,0
BM21A,02/04/2024 5:02:59 PM,34.73,1,637.57,0
BM21B,02/04/2024 5:03:53 PM,22.48,1,660.05,0
BM21C,02/04/2024 5:04:57 PM,22.80,1,682.85,0
BM22A,02/04/2024 5:05:54 PM,25.65,1,708.50,0
BM22B,02/04/2024 5:06:46 PM,31.19,1,739.69,0
BM22C,02/04/2024 5:07:36 PM,30.44,1,770.13,0
BM23A,02/04/2024 5:08:32 PM,47.60,1,817.73,0
BM23B,02/04/2024 5:09:17 PM,41.05,1,858.78,0
BM23C,02/04/2024 5:10:19 PM,44.43,1,903.21,0
BM24A,02/04/2024 5:13:11 PM,35.83,1,939.04,0
BM24B,02/04/2024 5:13:57 PM,33.23,1,972.27,0
BM24C,02/04/2024 5:14:50 PM,33.97,2,006.24,0
BM25A,02/04/2024 5:18:39 PM,36.47,2,042.71,0
BM25B,02/04/2024 5:19:43 PM,33.59,2,076.30,0
BM25C,02/04/2024 5:20:43 PM,36.83,2,113.13,0
BM26A,02/04/2024 5:21:29 PM,23.37,2,136.50,0
BM26B,02/04/2024 5:22:12 PM,27.40,2,163.90,0
BM26C,02/04/2024 5:23:55 PM,13.82,2,177.72,0
BM27A,02/04/2024 5:25:10 PM,23.99,2,201.71,0
BM27B,02/04/2024 5:26:02 PM,34.41,2,236.12,0
BM27C,02/04/2024 5:27:09 PM,28.97,2,265.09,0
BM28A,02/04/2024 5:28:07 PM,39.22,2,304.31,0
BM28B,02/04/2024 5:28:57 PM,39.23,2,343.54,0
BM28C,02/04/2024 5:29:43 PM,41.40,2,384.94,0
BM29A,02/04/2024 5:30:31 PM,37.00,2,421.94,0
BM29B,02/04/2024 5:31:23 PM,38.93,2,460.87,0
BM29C,02/04/2024 5:32:05 PM,33.04,2,493.91,0
BM30A,02/04/2024 5:32:53 PM,40.88,2,534.79,0
BM30B,02/04/2024 5:33:42 PM,32.55,2,567.34,0
BM30C,02/04/2024 5:34:30 PM,16.60,2,583.94,0
