ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
SD1A,02/18/2024 2:23:37 PM,47.06,47.06,0
SD1B,02/18/2024 2:24:36 PM,32.00,79.06,0
SD1C,02/18/2024 2:25:32 PM,41.10,120.16,0
SD2A,02/18/2024 2:26:22 PM,27.17,147.33,0
SD2B,02/18/2024 2:27:19 PM,16.14,163.47,0
SD2C,02/18/2024 2:28:20 PM,23.62,187.09,0
SD3A,02/18/2024 2:29:29 PM,24.96,212.05,0
SD3B,02/18/2024 2:30:53 PM,16.61,228.66,0
SD3C,02/18/2024 2:31:46 PM,10.07,238.73,0
SD4A,02/18/2024 2:32:40 PM,30.21,268.94,0
SD4B,02/18/2024 2:33:26 PM,35.22,304.16,0
SD4C,02/18/2024 2:34:11 PM,26.45,330.61,0
SD5A,02/18/2024 2:35:14 PM,30.09,360.70,0
SD5B,02/18/2024 2:35:55 PM,29.80,390.50,0
SD5C,02/18/2024 2:37:07 PM,18.18,408.68,0
SD6A,02/18/2024 2:52:03 PM,14.65,423.33,0
SD6B,02/18/2024 2:53:04 PM,6.31,429.64,0
SD6C,02/18/2024 2:53:55 PM,10.22,439.86,0
SD7A,02/18/2024 2:54:59 PM,16.40,456.26,0
SD7B,02/18/2024 2:55:45 PM,19.54,475.80,0
SD7C,02/18/2024 2:56:52 PM,16.95,492.75,0
SD8A,02/18/2024 2:57:42 PM,10.70,503.45,0
SD8B,02/18/2024 2:58:32 PM,17.09,520.54,0
SD8C,02/18/2024 3:00:09 PM,10.40,530.94,0
SD9A,02/18/2024 3:01:23 PM,18.57,549.51,0
SD9B,02/18/2024 3:02:17 PM,15.03,564.54,0
SD9C,02/18/2024 3:03:05 PM,25.40,589.94,0
SD10A,02/18/2024 3:04:10 PM,24.70,614.64,0
SD10B,02/18/2024 3:05:03 PM,25.85,640.49,0
SD10C,02/18/2024 3:06:00 PM,22.68,663.17,0
SD11A,02/18/2024 3:20:50 PM,19.55,682.72,0
SD11B,02/18/2024 3:22:06 PM,19.31,702.03,0
SD11C,02/18/2024 3:22:59 PM,19.75,721.78,0
SD12A,02/18/2024 3:23:57 PM,29.21,750.99,0
SD12B,02/18/2024 3:24:39 PM,20.85,771.84,0
SD12C,02/18/2024 3:25:41 PM,21.79,793.63,0
SD13A,02/18/2024 3:26:34 PM,24.82,818.45,0
SD13B,02/18/2024 3:27:19 PM,26.27,844.72,0
SD13C,02/18/2024 3:28:32 PM,28.59,873.31,0
SD14A,02/18/2024 3:29:21 PM,16.84,890.15,0
SD14B,02/18/2024 3:30:19 PM,12.95,903.10,0
SD14C,02/18/2024 3:31:11 PM,16.22,919.32,0
SD15A,02/18/2024 3:32:23 PM,32.47,951.79,0
SD15B,02/18/2024 3:33:26 PM,31.18,982.97,0
SD17A,02/18/2024 3:55:45 PM,15.84,998.81,0
SD17B,02/18/2024 3:56:43 PM,14.80,1,013.61,0
SD17C,02/18/2024 3:57:35 PM,13.11,1,026.72,0
SD18A,02/18/2024 4:00:08 PM,14.70,1,041.42,0
SD18B,02/18/2024 4:01:13 PM,15.05,1,056.47,0
SD18C,02/18/2024 4:02:07 PM,15.09,1,071.56,0
SD19A,02/18/2024 4:03:12 PM,27.37,1,098.93,0
SD19B,02/18/2024 4:03:54 PM,33.61,1,132.54,0
SD19C,02/18/2024 4:04:55 PM,31.00,1,163.54,0
SD20A,02/18/2024 4:05:43 PM,18.73,1,182.27,0
SD20B,02/18/2024 4:06:32 PM,20.74,1,203.01,0
SD20C,02/18/2024 4:07:24 PM,22.66,1,225.67,0
SD21A,02/18/2024 4:08:13 PM,21.33,1,247.00,0
SD21B,02/18/2024 4:08:58 PM,23.52,1,270.52,0
SD21C,02/18/2024 4:09:46 PM,20.24,1,290.76,0
SD22A,02/18/2024 4:10:41 PM,29.55,1,320.31,0
SD22B,02/18/2024 4:11:25 PM,26.81,1,347.12,0
SD22C,02/18/2024 4:12:21 PM,22.03,1,369.15,0
SD23A,02/18/2024 4:26:33 PM,16.42,1,385.57,0
SD23B,02/18/2024 4:27:15 PM,16.64,1,402.21,0
SD23C,02/18/2024 4:28:05 PM,14.74,1,416.95,0
SD24A,02/18/2024 4:29:00 PM,20.17,1,437.12,0
SD24B,02/18/2024 4:29:53 PM,20.46,1,457.58,0
SD24C,02/18/2024 4:30:41 PM,15.71,1,473.29,0
SD25A,02/18/2024 4:31:40 PM,24.28,1,497.57,0
SD25B,02/18/2024 4:32:31 PM,29.32,1,526.89,0
SD25C,02/18/2024 4:33:36 PM,16.91,1,543.80,0
SD26A,02/18/2024 4:34:27 PM,14.16,1,557.96,0
SD26B,02/18/2024 4:35:11 PM,29.48,1,587.44,0
SD26C,02/18/2024 4:36:03 PM,22.41,1,609.85,0
SD27A,02/18/2024 4:36:56 PM,29.83,1,639.68,0
SD27B,02/18/2024 4:37:59 PM,29.24,1,668.92,0
SD27C,02/18/2024 4:38:49 PM,26.11,1,695.03,0
SD28A,02/18/2024 4:39:42 PM,28.60,1,723.63,0
SD28B,02/18/2024 4:40:24 PM,41.04,1,764.67,0
SD28C,02/18/2024 4:41:07 PM,23.68,1,788.35,0
SD29A,02/18/2024 4:41:55 PM,29.95,1,818.30,0
SD29B,02/18/2024 4:42:49 PM,18.73,1,837.03,0
SD29C,02/18/2024 4:43:35 PM,21.52,1,858.55,0
SD30A,02/18/2024 4:44:27 PM,26.72,1,885.27,0
SD30B,02/18/2024 4:45:15 PM,27.17,1,912.44,0
SD30C,02/18/2024 4:46:23 PM,17.44,1,929.88,0
