ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
TA1A,02/10/2024 1:19:27 PM,13.76,13.76,0
TA1B,02/10/2024 1:20:28 PM,10.91,24.67,0
TA1C,02/10/2024 1:21:19 PM,8.45,33.12,0
TA2A,02/10/2024 1:22:28 PM,15.69,48.81,0
TA2B,02/10/2024 1:23:26 PM,16.41,65.22,0
TA2C,02/10/2024 1:25:33 PM,13.14,78.36,0
TA3A,02/10/2024 1:26:43 PM,12.20,90.56,0
TA3B,02/10/2024 1:27:23 PM,11.56,102.12,0
TA3C,02/10/2024 1:28:27 PM,11.27,113.39,0
TA4A,02/10/2024 1:29:33 PM,20.38,133.77,0
TA4B,02/10/2024 1:30:29 PM,9.44,143.21,0
TA5A,02/10/2024 1:31:20 PM,25.97,169.18,0
TA5B,02/10/2024 1:32:22 PM,22.13,191.31,0
TA5C,02/10/2024 1:33:33 PM,20.19,211.50,0
TA6A,02/10/2024 1:34:34 PM,20.03,231.53,0
TA6B,02/10/2024 1:35:28 PM,18.95,250.48,0
TA6C,02/10/2024 1:36:31 PM,15.48,265.96,0
TA7A,02/10/2024 1:37:31 PM,16.52,282.48,0
TA7B,02/10/2024 1:38:18 PM,9.00,291.48,0
TA7C,02/10/2024 1:39:09 PM,12.18,303.66,0
TA8A,02/10/2024 1:40:07 PM,13.17,316.83,0
TA8B,02/10/2024 1:42:15 PM,16.56,333.39,0
TA8C,02/10/2024 1:43:43 PM,12.39,345.78,0
TA9A,02/10/2024 1:44:34 PM,12.96,358.74,0
TA9B,02/10/2024 1:45:44 PM,14.36,373.10,0
TA9C,02/10/2024 1:46:41 PM,12.34,385.44,0
TA10A,02/10/2024 1:48:27 PM,21.83,407.27,0
TA10B,02/10/2024 1:49:15 PM,19.31,426.58,0
TA10C,02/10/2024 1:50:03 PM,14.47,441.05,0
TA11A,02/10/2024 1:50:59 PM,37.32,478.37,0
TA11B,02/10/2024 1:51:37 PM,24.27,502.64,0
TA11C,02/10/2024 1:52:52 PM,30.52,533.16,0
TA12A,02/10/2024 1:53:44 PM,31.21,564.37,0
TA12B,02/10/2024 1:56:27 PM,23.17,587.54,0
TA13A,02/10/2024 1:59:19 PM,16.94,604.48,0
TA13B,02/10/2024 2:00:33 PM,17.97,622.45,0
TA13C,02/10/2024 2:01:18 PM,14.91,637.36,0
TA14A,02/10/2024 2:04:04 PM,26.08,663.44,0
TA14B,02/10/2024 2:05:23 PM,17.67,681.11,0
TA14C,02/10/2024 2:08:11 PM,14.27,695.38,0
TA15A,02/10/2024 2:09:12 PM,17.62,713.00,0
TA15B,02/10/2024 2:10:02 PM,21.14,734.14,0
TA15C,02/10/2024 2:10:56 PM,15.49,749.63,0
TA16A,02/10/2024 2:11:46 PM,44.49,794.12,0
TA16B,02/10/2024 2:12:37 PM,23.50,817.62,0
TA16C,02/10/2024 2:13:17 PM,29.37,846.99,0
TA17A,02/10/2024 2:14:11 PM,30.57,877.56,0
TA17B,02/10/2024 2:15:00 PM,39.97,917.53,0
TA17C,02/10/2024 2:15:49 PM,29.44,946.97,0
TA18A,02/10/2024 2:23:16 PM,14.16,961.13,0
TA18B,02/10/2024 2:24:18 PM,12.51,973.64,0
TA18C,02/10/2024 2:25:30 PM,9.16,982.80,0
TA19A,02/10/2024 2:26:59 PM,20.15,1,002.95,0
TA19B,02/10/2024 2:27:41 PM,23.67,1,026.62,0
TA19C,02/10/2024 2:28:28 PM,18.39,1,045.01,0
TA20A,02/10/2024 2:29:30 PM,13.38,1,058.39,0
TA20B,02/10/2024 2:30:28 PM,16.72,1,075.11,0
TA20C,02/10/2024 2:31:29 PM,9.71,1,084.82,0
TA21A,02/10/2024 3:01:06 PM,10.64,1,095.46,0
TA21B,02/10/2024 3:02:25 PM,6.74,1,102.20,0
TA21C,02/10/2024 3:03:37 PM,11.26,1,113.46,0
