ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
WP1A,02/11/2024 12:10:40 PM,33.87,33.87,0
WP1B,02/11/2024 12:11:45 PM,31.31,65.18,0
WP1C,02/11/2024 12:12:41 PM,30.15,95.33,0
WP2A,02/11/2024 12:13:52 PM,26.22,121.55,0
WP2B,02/11/2024 12:14:38 PM,22.41,143.96,0
WP2C,02/11/2024 12:15:43 PM,19.23,163.19,0
WP3A,02/11/2024 12:16:37 PM,26.80,189.99,0
WP3B,02/11/2024 12:17:28 PM,26.91,216.90,0
WP3C,02/11/2024 12:18:07 PM,19.77,236.67,0
WP4A,02/11/2024 12:19:20 PM,27.61,264.28,0
WP4B,02/11/2024 12:20:11 PM,22.69,286.97,0
WP4C,02/11/2024 12:21:12 PM,23.26,310.23,0
WP5A,02/11/2024 12:22:02 PM,33.97,344.20,0
WP5B,02/11/2024 12:22:52 PM,34.15,378.35,0
WP5C,02/11/2024 12:23:48 PM,14.98,393.33,0
WP6A,02/11/2024 12:30:36 PM,23.40,416.73,0
WP6B,02/11/2024 12:31:23 PM,27.40,444.13,0
WP6C,02/11/2024 12:32:18 PM,20.34,464.47,0
WP7A,02/11/2024 12:33:05 PM,24.59,489.06,0
WP7B,02/11/2024 12:33:54 PM,16.14,505.20,0
WP7C,02/11/2024 12:34:57 PM,23.17,528.37,0
WP8A,02/11/2024 12:36:03 PM,26.33,554.70,0
WP8B,02/11/2024 12:36:51 PM,19.00,573.70,0
WP8C,02/11/2024 12:37:51 PM,15.77,589.47,0
WP9A,02/11/2024 12:39:27 PM,25.82,615.29,0
WP9B,02/11/2024 12:40:34 PM,23.48,638.77,0
WP9C,02/11/2024 12:41:20 PM,20.50,659.27,0
WP10A,02/11/2024 12:42:05 PM,21.41,680.68,0
WP10B,02/11/2024 12:42:56 PM,23.83,704.51,0
WP10C,02/11/2024 12:43:47 PM,18.71,723.22,0
WP11A,02/11/2024 12:44:53 PM,28.54,751.76,0
WP11B,02/11/2024 12:45:40 PM,25.08,776.84,0
WP11C,02/11/2024 12:46:39 PM,17.81,794.65,0
WP12A,02/11/2024 12:47:40 PM,37.43,832.08,0
WP12B,02/11/2024 12:48:32 PM,36.13,868.21,0
WP12C,02/11/2024 12:49:10 PM,28.97,897.18,0
WP13A,02/11/2024 12:55:02 PM,32.22,929.40,0
WP13B,02/11/2024 12:55:58 PM,26.91,956.31,0
WP13C,02/11/2024 12:56:52 PM,20.49,976.80,0
WP25A,02/11/2024 1:49:02 PM,28.90,1,005.70,0
WP25B,02/11/2024 1:49:57 PM,33.21,1,038.91,0
WP25C,02/11/2024 1:50:48 PM,31.95,1,070.86,0
WP26A,02/11/2024 1:51:47 PM,28.54,1,099.40,0
WP26B,02/11/2024 1:52:28 PM,25.40,1,124.80,0
WP26C,02/11/2024 1:53:11 PM,23.00,1,147.80,0
WP27A,02/11/2024 1:54:03 PM,51.81,1,199.61,0
WP27B,02/11/2024 1:54:45 PM,46.93,1,246.54,0
WP27C,02/11/2024 1:55:33 PM,33.36,1,279.90,0
WP28A,02/11/2024 1:56:31 PM,34.14,1,314.04,0
WP28B,02/11/2024 1:57:35 PM,32.08,1,346.12,0
WP28C,02/11/2024 1:58:26 PM,32.66,1,378.78,0
WP29A,02/11/2024 1:59:14 PM,18.40,1,397.18,0
WP29B,02/11/2024 2:00:18 PM,21.31,1,418.49,0
WP29C,02/11/2024 2:01:17 PM,19.49,1,437.98,0
WP30A,02/11/2024 2:02:30 PM,18.96,1,456.94,0
WP30B,02/11/2024 2:03:21 PM,33.13,1,490.07,0
WP30C,02/11/2024 2:04:19 PM,30.35,1,520.42,0
