ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
WU1A,03/06/2024 12:58:34 PM,31.99,31.99,0
WU1B,03/06/2024 12:59:23 PM,23.54,55.53,0
WU1C,03/06/2024 1:00:12 PM,23.34,78.87,0
WU2A,03/06/2024 1:00:54 PM,28.56,107.43,0
WU2B,03/06/2024 1:01:37 PM,26.71,134.14,0
WU2C,03/06/2024 1:02:22 PM,23.19,157.33,0
WU3A,03/06/2024 1:03:11 PM,26.88,184.21,0
WU3B,03/06/2024 1:03:53 PM,22.39,206.60,0
WU3C,03/06/2024 1:04:38 PM,23.21,229.81,0
WU4A,03/06/2024 1:05:28 PM,25.87,255.68,0
WU4B,03/06/2024 1:06:13 PM,23.15,278.83,0
WU4C,03/06/2024 1:06:54 PM,22.54,301.37,0
WU5A,03/06/2024 1:07:35 PM,35.62,336.99,0
WU5B,03/06/2024 1:08:15 PM,26.95,363.94,0
WU5C,03/06/2024 1:08:58 PM,25.40,389.34,0
WU6A,03/06/2024 1:09:46 PM,37.44,426.78,0
WU6B,03/06/2024 1:10:28 PM,21.40,448.18,0
WU6C,03/06/2024 1:11:14 PM,28.91,477.09,0
WU7A,03/06/2024 1:14:32 PM,31.29,508.38,0
WU7B,03/06/2024 1:15:20 PM,34.19,542.57,0
WU7C,03/06/2024 1:16:13 PM,34.17,576.74,0
WU8A,03/06/2024 1:16:55 PM,29.42,606.16,0
WU8B,03/06/2024 1:17:46 PM,23.09,629.25,0
WU8C,03/06/2024 1:18:36 PM,19.27,648.52,0
WU9A,03/06/2024 1:19:21 PM,36.47,684.99,0
WU9B,03/06/2024 1:20:00 PM,39.11,724.10,0
WU9C,03/06/2024 1:20:42 PM,32.25,756.35,0
WU10A,03/06/2024 1:21:29 PM,24.32,780.67,0
WU10B,03/06/2024 1:22:17 PM,23.57,804.24,0
WU10C,03/06/2024 1:22:58 PM,23.78,828.02,0
WU11A,03/06/2024 1:23:40 PM,38.28,866.30,0
WU11B,03/06/2024 1:24:27 PM,33.52,899.82,0
WU11C,03/06/2024 1:25:33 PM,40.27,940.09,0
WU12A,03/06/2024 1:26:25 PM,27.62,967.71,0
WU12B,03/06/2024 1:27:00 PM,26.94,994.65,0
WU12C,03/06/2024 1:27:53 PM,19.03,1,013.68,0
WU13A,03/06/2024 1:35:02 PM,32.20,1,045.88,0
WU13B,03/06/2024 1:35:51 PM,15.36,1,061.24,0
WU13C,03/06/2024 1:36:42 PM,15.38,1,076.62,0
WU14A,03/06/2024 1:37:30 PM,32.57,1,109.19,0
WU14B,03/06/2024 1:38:25 PM,25.12,1,134.31,0
WU14C,03/06/2024 1:39:09 PM,25.21,1,159.52,0
WU15A,03/06/2024 1:39:54 PM,19.15,1,178.67,0
WU15B,03/06/2024 1:40:34 PM,19.98,1,198.65,0
WU15C,03/06/2024 1:41:25 PM,17.77,1,216.42,0
WU16A,03/06/2024 1:42:05 PM,36.41,1,252.83,0
WU16B,03/06/2024 1:42:53 PM,28.49,1,281.32,0
WU16C,03/06/2024 1:43:34 PM,29.03,1,310.35,0
WU17A,03/06/2024 1:44:13 PM,26.40,1,336.75,0
WU17B,03/06/2024 1:45:00 PM,26.19,1,362.94,0
WU17C,03/06/2024 1:45:49 PM,28.68,1,391.62,0
WU18A,03/06/2024 1:46:33 PM,30.95,1,422.57,0
WU18B,03/06/2024 1:47:30 PM,35.20,1,457.77,0
WU18C,03/06/2024 1:48:46 PM,23.03,1,480.80,0
WU19A,03/06/2024 1:54:35 PM,42.30,1,523.10,0
WU19B,03/06/2024 1:55:21 PM,43.97,1,567.07,0
WU19C,03/06/2024 1:56:17 PM,38.85,1,605.92,0
WU20A,03/06/2024 1:57:04 PM,28.51,1,634.43,0
WU20B,03/06/2024 1:58:00 PM,18.24,1,652.67,0
WU20C,03/06/2024 1:58:51 PM,16.87,1,669.54,0
WU21A,03/06/2024 1:59:31 PM,21.36,1,690.90,0
WU21B,03/06/2024 2:00:24 PM,19.57,1,710.47,0
WU21C,03/06/2024 2:01:17 PM,20.15,1,730.62,0
WU22A,03/06/2024 2:02:10 PM,30.49,1,761.11,0
WU22B,03/06/2024 2:02:58 PM,31.84,1,792.95,0
WU22C,03/06/2024 2:03:45 PM,22.85,1,815.80,0
WU23A,03/06/2024 2:04:34 PM,33.53,1,849.33,0
WU23B,03/06/2024 2:05:18 PM,34.62,1,883.95,0
WU23C,03/06/2024 2:06:03 PM,19.21,1,903.16,0
