ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
AJ17C,02/12/2024 9:04:20 PM,15.36,15.36,0
AJ18A,02/12/2024 9:05:08 PM,15.04,30.40,0
AJ18B,02/12/2024 9:06:33 PM,15.53,45.93,0
AJ18C,02/12/2024 9:07:02 PM,17.20,63.13,0
AJ19A,02/12/2024 9:07:29 PM,20.68,83.81,0
AJ19B,02/12/2024 9:07:50 PM,18.01,101.82,0
AJ19C,02/12/2024 9:08:11 PM,16.87,118.69,0
AJ20A,02/12/2024 9:08:31 PM,19.09,137.78,0
AJ20B,02/12/2024 9:08:57 PM,18.62,156.40,0
AJ20C,02/12/2024 9:09:27 PM,16.22,172.62,0
AJ21A,02/12/2024 9:09:43 PM,32.95,205.57,0
AJ21B,02/12/2024 9:10:03 PM,18.48,224.05,0
AJ21C,02/12/2024 9:10:24 PM,20.89,244.94,0
AJ22A,02/12/2024 9:10:41 PM,32.28,277.22,0
AJ22B,02/12/2024 9:10:56 PM,36.73,313.95,0
AJ22C,02/12/2024 9:11:11 PM,61.01,374.96,0
AJ23A,02/12/2024 9:11:26 PM,36.61,411.57,0
AJ23B,02/12/2024 9:11:40 PM,25.40,436.97,0
AJ23C,02/12/2024 9:11:53 PM,30.84,467.81,0
AJ24A,02/12/2024 9:12:07 PM,41.33,509.14,0
AJ24B,02/12/2024 9:12:23 PM,52.90,562.04,0
AJ24C,02/12/2024 9:12:48 PM,36.23,598.27,0
AJ25A,02/12/2024 9:13:14 PM,15.13,613.40,0
AJ25B,02/12/2024 9:13:35 PM,18.24,631.64,0
AJ25C,02/12/2024 9:13:53 PM,17.13,648.77,0
AJ26A,02/12/2024 9:14:09 PM,15.15,663.92,0
