ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
VJ1A,02/09/2024 4:29:31 PM,20.26,20.26,0
VJ1B,02/09/2024 4:32:51 PM,18.45,38.71,0
VJ1C,02/09/2024 4:34:05 PM,20.70,59.41,0
VJ3A,02/09/2024 4:35:40 PM,21.82,81.23,0
VJ3B,02/09/2024 4:37:10 PM,16.06,97.29,0
VJ3C,02/09/2024 4:38:06 PM,14.24,111.53,0
VJ5A,02/09/2024 4:39:12 PM,10.48,122.01,0
VJ5B,02/09/2024 4:40:04 PM,11.56,133.57,0
VJ5C,02/09/2024 4:40:58 PM,8.48,142.05,0
VJ7A,02/09/2024 4:42:28 PM,13.08,155.13,0
VJ7B,02/09/2024 4:44:19 PM,12.42,167.55,0
VJ7C,02/09/2024 4:45:15 PM,7.22,174.77,0
VJ9A,02/09/2024 4:46:38 PM,19.50,194.27,0
VJ9B,02/09/2024 4:47:21 PM,18.66,212.93,0
VJ9C,02/09/2024 4:48:14 PM,19.15,232.08,0
VJ11A,02/09/2024 4:51:10 PM,18.22,250.30,0
VJ11B,02/09/2024 4:51:53 PM,17.25,267.55,0
VJ11C,02/09/2024 4:52:38 PM,17.06,284.61,0
VJ12A,02/09/2024 5:02:47 PM,11.26,295.87,0
VJ12B,02/09/2024 5:04:20 PM,17.94,313.81,0
VJ12C,02/09/2024 5:05:23 PM,11.86,325.67,0
VJ13A,02/09/2024 5:06:17 PM,12.72,338.39,0
VJ13B,02/09/2024 5:07:33 PM,10.59,348.98,0
VJ13C,02/09/2024 5:08:39 PM,15.18,364.16,0
