Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmax (hPa)
OV,-111.0981,32.4402,862,2023-10,3.75,16.2,24.1,32,3.3,40.99
OV,-111.0981,32.4402,862,2023-11,16.64,10.6,18,25.4,1.2,26.31
OV,-111.0981,32.4402,862,2023-12,33.89,5.4,13.1,20.8,-2,20.34
OV,-111.0981,32.4402,862,2024-01,45.85,3.9,10.7,17.5,-0.2,15.22
OV,-111.0981,32.4402,862,2024-02,50.96,6.5,13.6,20.8,2.3,19.4
BM,-111.1645,32.2405,928,2023-10,0.53,15.8,23.6,31.5,2,40.67
BM,-111.1645,32.2405,928,2023-11,14.61,10.8,18,25.1,0.1,26.38
BM,-111.1645,32.2405,928,2023-12,32.87,5.5,13.3,21.1,-2.3,21.06
BM,-111.1645,32.2405,928,2024-01,46.5,3.9,10.9,17.9,-0.7,16.37
BM,-111.1645,32.2405,928,2024-02,44.76,6.4,13.9,21.3,1.9,20.71
AJ,-112.8951,32.3454,581,2023-10,0,18.6,25.9,33.1,3.4,43.66
AJ,-112.8951,32.3454,581,2023-11,8.02,12.7,19.4,26.1,0.6,27.33
AJ,-112.8951,32.3454,581,2023-12,21.83,8.5,14.9,21.4,-1,19.7
AJ,-112.8951,32.3454,581,2024-01,22.86,6.6,12.1,17.6,0.3,14.09
AJ,-112.8951,32.3454,581,2024-02,27.55,8.5,14.6,20.7,3.5,17.7
VJ,-114.6441,34.2485,355,2023-10,0,16.3,24.2,32.2,1.6,42.58
VJ,-114.6441,34.2485,355,2023-11,2.99,9.1,16.5,24,-3.1,25.04
VJ,-114.6441,34.2485,355,2023-12,5.54,5.6,12.9,20.1,-2.7,18.32
VJ,-114.6441,34.2485,355,2024-01,18.11,4.7,11.3,17.9,-0.3,14.45
VJ,-114.6441,34.2485,355,2024-02,25.31,8.1,14.3,20.4,3.1,17.29
WU,-113.6148,34.7243,657,2023-10,2.63,11.5,21.3,31.2,-0.2,40.3
WU,-113.6148,34.7243,657,2023-11,1.14,4.6,14.1,23.6,-4.3,24.82
WU,-113.6148,34.7243,657,2023-12,5.01,2.6,11.4,20.3,-5.8,19.68
WU,-113.6148,34.7243,657,2024-01,21.4,1.9,9.1,16.2,-2.6,13.69
WU,-113.6148,34.7243,657,2024-02,41.37,4.2,11.5,18.7,0.1,16.36
TA,-113.1023,34.28,853,2023-10,3.23,15.7,22.7,29.7,0.2,36.23
TA,-113.1023,34.28,853,2023-11,6.43,9.4,16.2,23,-3.4,23.48
TA,-113.1023,34.28,853,2023-12,28.9,5.8,12.4,19,-5.2,17.87
TA,-113.1023,34.28,853,2024-01,24.46,4.1,9.6,15,-2.3,12.36
TA,-113.1023,34.28,853,2024-02,47.55,6.1,11.8,17.5,0.6,14.48
LP,-112.3161,33.8352,549,2023-10,0,20.7,26.5,32.3,3.5,41.77
LP,-112.3161,33.8352,549,2023-11,15.12,14.6,20,25.3,0.7,26.39
LP,-112.3161,33.8352,549,2023-12,25.27,9.9,15.2,20.5,-0.2,18.84
LP,-112.3161,33.8352,549,2024-01,24.54,7.4,12.1,16.8,1.1,13.47
LP,-112.3161,33.8352,549,2024-02,54.73,7.5,13.8,20.1,2.6,17.55
WP,-111.8333,33.8489,935,2023-10,0,18.5,24.2,29.8,2.4,34.78
WP,-111.8333,33.8489,935,2023-11,13.98,13,18,23,-0.4,22.2
WP,-111.8333,33.8489,935,2023-12,36.24,8.7,13.7,18.7,-2.5,16.48
WP,-111.8333,33.8489,935,2024-01,36.91,5.7,10.3,14.8,-1.2,11.68
WP,-111.8333,33.8489,935,2024-02,58.44,8.1,12.5,16.9,0.3,14.12
HL,-114.3265,34.6283,412,2023-10,0.11,18.1,24.7,31.3,0.7,40.68
HL,-114.3265,34.6283,412,2023-11,1.95,11,17.2,23.5,-3.8,24.47
HL,-114.3265,34.6283,412,2023-12,5.32,7.7,13.5,19.4,-3.8,17.87
HL,-114.3265,34.6283,412,2024-01,14.91,6.2,11.6,17,-1.1,14.1
HL,-114.3265,34.6283,412,2024-02,30.97,9.1,14.3,19.4,1.8,16.56
PL,-109.0861,31.9326,1333,2023-10,14.68,9.9,19.1,28.4,4.3,31.34
PL,-109.0861,31.9326,1333,2023-11,1.29,3.6,12.4,21.2,0.7,19.17
PL,-109.0861,31.9326,1333,2023-12,21.76,-1.9,7.5,17,-5.5,15.36
PL,-109.0861,31.9326,1333,2024-01,33.14,-1.8,6.4,14.5,-3.4,12.29
PL,-109.0861,31.9326,1333,2024-02,34.27,1,9.6,18.3,-1.8,17.02
SD,-112.259,32.7753,569,2023-10,0,13.3,22.7,32.1,3.3,39.06
SD,-112.259,32.7753,569,2023-11,14.84,7.7,16.9,26.1,0.8,27.49
SD,-112.259,32.7753,569,2023-12,32.98,2.6,11.4,20.3,-0.2,17.94
SD,-112.259,32.7753,569,2024-01,38.31,2.2,9.8,17.5,-0.3,14.28
SD,-112.259,32.7753,569,2024-02,39.53,4.8,12.4,20,3.7,16.48
