"","sample","C_percent","N_percent","C.N","N_isotope_raw","C_isotope_raw","WUE","precision","plant_ID","combined_weight","mean_sla"
"1",1,38.1,4.2,9,8.1,-29.5,22.15352911,NA,"OV1",6.841,19.8679873466667
"2",2,41,4,10.2,14.8,-29.2,21.83765966,NA,"OV2",5.236,23.78347085
"3",3,38.8,4.7,8.3,5.2,-29.9,22.57499227,NA,"OV6",5.256,22.73433677
"4",4,39.3,4.2,9.4,6.7,-29.3,21.94292778,NA,"OV7",4.705,23.12466324
"5",5,39.4,4.3,9.2,5.8,-29.2,21.83765966,NA,"OV10",4.539,19.1780541966667
"6",6,38,4.1,9.4,6.4,-29.3,21.94292778,NA,"OV11",4.959,22.6176537566667
"7",7,39.8,3.5,11.2,5.7,-29.1,21.73241322,NA,"OV14",4.585,22.20113437
"8",8,38.6,4.9,7.9,4.8,-30.5,23.20783909,NA,"OV15",5.252,25.0276897666667
"9",9,38.4,3.4,11.2,5.1,-29.9,22.57499227,NA,"OV17",4.61,19.7597096866667
"10",10,39.8,4.9,8.1,7.8,-30.1,22.78585421,NA,"OV20",5.083,23.8532444666667
"11",11,38.7,3.8,10.1,5.2,-30.6,23.31338973,NA,"OV24",4.571,26.0338948966667
"12",12,39.1,2.7,14.6,6.1,-29.7,22.36421725,NA,"OV29",4.517,14.7599278366667
"13",13,38.1,3.6,10.7,21,-28.6,21.20650607,NA,"BM2",5.469,14.7525841333333
"14",14,38,3.3,11.5,3.5,-28.8,21.41680395,NA,"BM3",5.488,13.9346769133333
"15",15,38.7,3.6,10.8,36.5,-27.9,20.47114494,NA,"BM4",5.248,13.1707082033333
"16",16,37.9,4.2,9.1,1.2,-29.3,21.94292778,NA,"BM10",4.917,16.09756545
"17",17,37.6,3.3,11.3,4.8,-29.2,21.83765966,NA,"BM12",5.235,15.08242898
"18",18,38.4,2.3,16.8,4.2,-29.8,22.4695939,NA,"BM13",4.96,15.9332687266667
"19",19,29.1,2.2,13.2,3,-28.7,21.31164419,NA,"BM17",4.035,10.8375260366667
"20",20,36.5,2.9,12.6,3.2,-29.6,22.25886232,NA,"BM18",4.797,12.5782418366667
"21",21,35.2,2.6,13.5,5.6,-29.4,22.0482176,NA,"BM22",5.726,15.2459957933333
"22",22,37.9,3.5,10.9,3.5,-29.1,21.73241322,NA,"BM25",4.722,14.6653597233333
"23",23,37.2,3.2,11.7,4.7,-29.3,21.94292778,NA,"BM29",4.991,14.47382381
"24",24,37,4.4,8.4,10.4,-30.3,22.99680313,NA,"AJ3",4.922,15.88802378
"25",25,37.3,4.4,8.4,5.9,-30.7,23.41896214,NA,"AJ5",5.123,23.8102258933333
"26",26,37,4.3,8.7,8.5,-30.4,23.10231023,NA,"AJ10",3.84,15.7343369933333
"27",27,37.7,3.1,12,7.7,-30.8,23.52455634,NA,"AJ13",3.425,19.0672385066667
"28",28,36.8,3.1,11.7,7.5,-30.9,23.63017232,NA,"AJ19",3.189,17.48879789
"29",29,40.3,4.5,9,8.2,-31.2,23.94715111,NA,"AJ22",4.406,29.8232733566667
"30",30,38.6,4.2,9.1,5.2,-30,22.68041237,NA,"AJ23",4.441,21.2260531333333
"31",31,36.4,3.5,10.4,8.6,-29.9,22.57499227,NA,"AJ24",5.334,16.8968968333333
"32",32,38.4,4.7,8.1,8.3,-31.3,24.05285434,NA,"AJ27",3.214,22.56495238
"33",33,37.6,3,12.6,14.6,-30.2,22.8913178,NA,"AJ28",4.628,18.2069360533333
"34",34,39.3,3.5,11.4,5,-30.2,22.8913178,NA,"AJ30",4.389,20.3166884633333
"35",35,36.8,2,18,3.8,-29.6,22.25886232,0.25,"TA2*",2.687,NA
"36",36,38.1,3.1,12.3,6.3,-30.5,23.20783909,NA,"TA5",3.361,20.7773991866667
"37",37,39.3,3,12.9,3,-29.4,22.0482176,NA,"TA6",3.946,14.0602447166667
"38",38,38.6,2.8,13.8,4.5,-30.7,23.41896214,NA,"TA10*",3.002,NA
"39",39,39.4,3.3,11.9,3.6,-30.7,23.41896214,NA,"TA11",4.661,19.7210568266667
