sample,site,plant_ID,leaves,combined_weight,,,,,,,,
1,OV,OV1,A/B,6.841,,,,,,,,"125 samples total, 11-12 samples per 11 sites"
2,OV,OV2,A/B,5.236,,,,,,,,
3,OV,OV6,A/B,5.256,,,,,,,,
4,OV,OV7,A/B,4.705,,,,,,,,
5,OV,OV10,A/B,4.539,,,,,,,,
6,OV,OV11,A/B,4.959,,,,,,,,
7,OV,OV14,A/B/C,4.585,,,,,,,,
8,OV,OV15,A/B,5.252,,,,,,,,
9,OV,OV17,B/C,4.61,,,,,,,,
10,OV,OV20,B/C,5.083,,,,,,,,
11,OV,OV24,A/B,4.571,,,,,,,,
12,OV,OV29,B/C,4.517,,,,,,,,
13,BM,BM2,A/B,5.469,,,,,,,,
14,BM,BM3,A/B/C,5.488,,,,,,,,
15,BM,BM4,A/B/C,5.248,,,,,,,,
16,BM,BM10,A/B,4.917,,,  ,,,,,
17,BM,BM12,A/B,5.235,,,,,,,,
18,BM,BM13,A/B/C,4.96,,,,,,,,
19,BM,BM17,A/B,4.035,,,,,,,,
20,BM,BM18,A/B,4.797,,,,,,,,
21,BM,BM22,A/B/C,5.726,,,,,,,,
22,BM,BM25,A/B,4.722,,,,,,,,
23,BM,BM29,A/B,4.991,,,,,,,,
24,AJ,AJ3,A/B/C,4.922,,,,,,,,
25,AJ,AJ5,A/B/C,5.123,,,,,,,,
26,AJ,AJ10,A/B/C,3.84,,,,,,,,
27,AJ,AJ13,A/B/C,3.425,,,,,,,,
28,AJ,AJ19,A/B/C,3.189,,,,,,,,
29,AJ,AJ22,A/B/C,4.406,,,,,,,,
30,AJ,AJ23,A/B/C,4.441,,,,,,,,
31,AJ,AJ24,A/B,5.334,,,,,,,,
32,AJ,AJ27,A/B/C,3.214,,,,,,,,
33,AJ,AJ28,A/B/C,4.628,,,,,,,,
34,AJ,AJ30,A/B/C,4.389,,,,,,,,
35,TA,TA2*,A/B/C,2.687,,,,,,,,
36,TA,TA5,A/B/C,3.361,,,,,,,,
37,TA,TA6,A/B/C,3.946,,,,,,,,
38,TA,TA10*,A/B/C,3.002,,,,,,,,
39,TA,TA11,A/B/C,4.661,,,,,,,,
40,TA,TA12,A/B/C,3.987,,,,,,,,
41,TA,TA15,A/B/C,2.694,,,,,,,,
42,TA,TA16,A/B/C,4.803,,,,,,,,
43,TA,TA17,A/B,4.768,,,,,,,,
44,TA,TA19,A/B/C,3.249,,,,,,,,
45,LP,LP1,A/B/C,4.031,,,,,,,,
46,LP,LP2,A/B/C,3.048,,,,,,,,
47,LP,LP5,A/B/C,4.556,,,,,,,,
48,LP,LP8,A/B/C,4.439,,,,,,,,
49,LP,LP10,A/B,4.608,,,,,,,,
50,LP,LP12,A/B,4.627,,,,,,,,
51,LP,LP14,A/B/C,3.136,,,,,,,,
52,LP,LP17,A/B/C,4.492,,,,,,,,
53,LP,LP21,A/B/C,3.837,,,,,,,,
