ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
7B,02/07/2024 3:11:43 PM,6.48,6.48,0
7A,02/07/2024 3:12:33 PM,15.18,21.66,0
8A,02/07/2024 3:13:08 PM,14.29,35.95,0
8B,02/07/2024 3:13:42 PM,25.50,61.45,0
9A,02/07/2024 3:14:06 PM,38.75,100.20,0
9B,02/07/2024 3:14:29 PM,26.99,127.19,0
10A,02/07/2024 3:14:54 PM,21.53,148.72,0
10B,02/07/2024 3:15:19 PM,18.77,167.49,0
11A,02/07/2024 3:15:45 PM,34.55,202.04,0
11B,02/07/2024 3:16:26 PM,24.76,226.80,0
12A,02/07/2024 3:16:50 PM,14.03,240.83,0
12B,02/07/2024 3:17:13 PM,28.08,268.91,0
13A,02/07/2024 3:17:41 PM,10.85,279.76,0
13B,02/07/2024 3:18:11 PM,9.78,289.54,0
14A,02/07/2024 3:18:33 PM,21.83,311.37,0
14B,02/07/2024 3:18:58 PM,19.47,330.84,0
15A,02/07/2024 3:19:21 PM,24.92,355.76,0
15B,02/07/2024 3:19:51 PM,19.43,375.19,0
16A,02/07/2024 3:20:14 PM,18.48,393.67,0
16B,02/07/2024 3:20:39 PM,17.76,411.43,0
17A,02/07/2024 3:21:01 PM,24.44,435.87,0
17B,02/07/2024 3:21:37 PM,15.11,450.98,0
18A,02/07/2024 3:22:01 PM,15.71,466.69,0
18B,02/07/2024 3:22:30 PM,27.37,494.06,0
