ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
WP14A,02/14/2024 10:15:53 AM,33.70,33.70,0
WP14B,02/14/2024 10:16:20 AM,29.59,63.29,0
WP14C,02/14/2024 10:16:42 AM,24.17,87.46,0
WP15A,02/14/2024 10:16:57 AM,56.00,143.46,0
WP15B,02/14/2024 10:17:14 AM,39.75,183.21,0
WP15C,02/14/2024 10:17:28 AM,28.90,212.11,0
WP16A,02/14/2024 10:17:56 AM,33.59,245.70,0
WP16B,02/14/2024 10:18:15 AM,36.07,281.77,0
WP16C,02/14/2024 10:18:34 AM,25.51,307.28,0
WP17A,02/14/2024 10:18:56 AM,27.18,334.46,0
WP17B,02/14/2024 10:19:21 AM,32.58,367.04,0
WP17C,02/14/2024 10:19:35 AM,29.05,396.09,0
WP18A,02/14/2024 10:20:02 AM,40.49,436.58,0
WP18B,02/14/2024 10:20:24 AM,19.37,455.95,0
WP18C,02/14/2024 10:21:10 AM,18.65,474.60,0
WP19A,02/14/2024 10:21:31 AM,26.67,501.27,0
WP19B,02/14/2024 10:21:55 AM,25.32,526.59,0
WP19C,02/14/2024 10:22:16 AM,23.12,549.71,0
WP20A,02/14/2024 10:22:39 AM,40.69,590.40,0
WP20B,02/14/2024 10:23:01 AM,43.76,634.16,0
WP20C,02/14/2024 10:23:50 AM,42.59,676.75,0
WP21A,02/14/2024 10:24:12 AM,17.94,694.69,0
WP21B,02/14/2024 10:24:31 AM,17.57,712.26,0
WP21C,02/14/2024 10:24:48 AM,20.38,732.64,0
WP22A,02/14/2024 10:25:10 AM,26.05,758.69,0
WP22B,02/14/2024 10:25:33 AM,20.03,778.72,0
WP22C,02/14/2024 10:25:50 AM,20.55,799.27,0
WP23A,02/14/2024 10:26:13 AM,14.34,813.61,0
WP23B,02/14/2024 10:26:28 AM,26.31,839.92,0
WP23C,02/14/2024 10:26:54 AM,20.24,860.16,0
WP24A,02/14/2024 10:27:58 AM,23.10,883.26,0
WP24B,02/14/2024 10:28:22 AM,35.04,918.30,0
WP24C,02/14/2024 10:28:45 AM,31.65,949.95,0
