ID,Timestamp,Area (mm²),Cumul. Area (mm²),Reset Cumul.
1A,02/01/2024 4:30:40 PM,48.89,48.89,0
1B,02/01/2024 4:33:17 PM,102.39,151.28,0
2A,02/01/2024 4:36:40 PM,56.14,207.42,0
2B,02/01/2024 4:38:48 PM,49.18,256.60,0
3A,02/01/2024 4:43:36 PM,40.50,297.10,0
3B,02/01/2024 4:45:27 PM,56.72,353.82,0
4A,02/01/2024 4:47:37 PM,34.89,388.71,0
4B,02/01/2024 4:48:58 PM,38.71,427.42,0
5A,02/01/2024 4:50:46 PM,26.44,453.86,0
5B,02/01/2024 4:52:44 PM,10.56,464.42,0
6A,02/01/2024 4:54:39 PM,38.06,502.48,0
6B,02/01/2024 4:56:06 PM,16.47,518.95,0
7A,02/01/2024 5:19:10 PM,24.30,543.25,0
7B,02/01/2024 5:20:29 PM,11.94,555.19,0
8A,02/01/2024 5:38:09 PM,24.44,579.63,0
8B,02/01/2024 5:39:37 PM,38.57,618.20,0
9A,02/01/2024 5:41:41 PM,40.23,658.43,0
9B,02/01/2024 5:44:16 PM,38.54,696.97,0
10A,02/01/2024 5:49:35 PM,31.92,728.89,0
10B,02/01/2024 5:51:05 PM,24.62,753.51,0
11A,02/01/2024 5:52:51 PM,52.11,805.62,0
11B,02/01/2024 5:53:59 PM,38.08,843.70,0
12A,02/01/2024 5:55:18 PM,20.01,863.71,0
12B,02/01/2024 5:56:29 PM,40.29,904.00,0
13A,02/01/2024 5:57:59 PM,18.37,922.37,0
13B,02/01/2024 5:59:24 PM,19.09,941.46,0
14A,02/01/2024 6:00:50 PM,31.57,973.03,0
14B,02/01/2024 6:01:59 PM,29.64,1,002.67,0
15A,02/01/2024 6:04:04 PM,35.22,1,037.89,0
15B,02/01/2024 6:05:18 PM,26.24,1,064.13,0
16A,02/01/2024 6:06:53 PM,30.31,1,094.44,0
16B,02/01/2024 6:08:25 PM,23.19,1,117.63,0
17A,02/01/2024 6:10:17 PM,38.48,1,156.11,0
17B,02/01/2024 6:11:45 PM,26.78,1,182.89,0
18A,02/01/2024 6:13:17 PM,25.78,1,208.67,0
18B,02/01/2024 6:14:57 PM,36.66,1,245.33,0
