coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
212660,https://api.idigbio.org/v2/media/876a24f30dd894d455781beb44870787?size=fullsize,https://api.idigbio.org/v2/media/876a24f30dd894d455781beb44870787?size=fullsize,https://api.idigbio.org/v2/media/876a24f30dd894d455781beb44870787?size=thumbnail,https://api.idigbio.org/v2/media/876a24f30dd894d455781beb44870787?size=webview,http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:dc9a39b0-cae9-4bc7-93c5-e904aed4b042,"2017-03-08 17:56:48",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=212660,StillImage,Photograph,en
278738,https://swbiodiversity.org/imglib/seinet/mexico/UNISON_USON/00011/11248_1583357141_lg.jpg,https://swbiodiversity.org/imglib/seinet/mexico/UNISON_USON/00011/11248_1583357141_lg.jpg,https://swbiodiversity.org/imglib/seinet/mexico/UNISON_USON/00011/11248_1583357141_tn.jpg,https://swbiodiversity.org/imglib/seinet/mexico/UNISON_USON/00011/11248_1583357141.jpg,https://creativecommons.org/licenses/by-nc/4.0/,"Universidad de Sonora",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:2391c5a7-4e19-4334-8fed-3467103353d2,"2020-03-04 14:25:41",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=278738,StillImage,Photograph,en
296488,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007143_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007143_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007143_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007143.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:279e7e14-2f2f-4bba-8560-f963c90b1c53,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=296488,StillImage,Photograph,en
296489,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007227_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007227_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007227_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007227.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a393376f-a19b-46d5-93a0-01e3f8b8e29a,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=296489,StillImage,Photograph,en
296490,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007240_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007240_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007240_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007240.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:7d5c199d-7981-48e4-91d6-f8b633eb57d2,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=296490,StillImage,Photograph,en
312716,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007118_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007118_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007118_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007118.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3083babf-da65-449a-a94c-e10614920dcc,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312716,StillImage,Photograph,en
312717,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007119_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007119_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007119_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007119.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:5070293b-cd8d-4aa4-92ae-510ca02d3308,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312717,StillImage,Photograph,en
312718,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007120_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007120_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007120_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007120.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:08bfd62f-1deb-4a9a-b3a6-4aad37e17cf3,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312718,StillImage,Photograph,en
312719,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007121_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007121_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007121_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007121.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:26d8884e-411f-42d5-be0e-160294682b14,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312719,StillImage,Photograph,en
312720,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007123_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007123_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007123_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007123.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:6a0b47cf-75a9-495c-b505-f36345bd0c6e,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312720,StillImage,Photograph,en
312721,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007116_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007116_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007116_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007116.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:ff71ee44-b29f-4042-a321-a027c0a439e7,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312721,StillImage,Photograph,en
312722,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007122_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007122_lg.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007122_tn.jpg,https://cch2.org/imglib/cch2/UCR/UCR0007/UCR0007122.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of California, Riverside Plant Herbarium (UCR-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:11218133-90fc-4376-a9bd-bd2670b0cd95,"2024-06-03 09:28:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=312722,StillImage,Photograph,en
