id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
147004,NMC,,,PreservedSpecimen,,73495,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"E.M. Jercinovic",,419,2004-04-27,,2004,4,27,118,,,,,,,,,,,,,,,,"Convolvulus equitans, Gomphrena caespitosa, Dalea pogonathera, Phacelia bombycina",,,,,,,,,,,,,,"United States","New Mexico",Luna,,"Lobo Draw, Florida Mtns",,,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",73495,22,6837ff02-bbdc-49a1-8254-50bd8bfb60df,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147004
147005,NMC,,,PreservedSpecimen,,61798,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"L. McIntosh",,2597,1993-04-01,,1993,4,1,91,,,,"Occasional on a 15 degree NW-facing rhyolitic slope",,"Corolla white",,,,,,,,,,"with Agave palmeri, Bouteloua curtipendula, Xanthocephalum sarothrae, Verbena wrightii",,,,,,,,,,,,,,"United States","New Mexico",Hidalgo,,"Beacon Hill, Antelope Pass, Peloncillo Mountains.",,,,,,,,,,,,,,1372,,,,,4500ft,,,,"2023-07-16 07:02:03",61798,22,f5fb8d33-b2ad-4ce3-872b-2955eccb56d2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147005
147006,NMC,,,PreservedSpecimen,,53558,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"R.D. Worthington",,10177,1983-04-30,,1983,4,30,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States","New Mexico",Hidalgo,,"Apache Hills, slpoes about the Apache mine.",,,,,,,,,,,,,,1524,,,,,"4700 - 5000ft",,,,"2023-07-16 07:02:03",53558,22,339958b5-1392-4e3d-8afb-c7c48432254f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147006
147007,NMC,,,PreservedSpecimen,,53496,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"R.W. Spellenberg and M. Spellenberg",,6454,1982-04-09,,1982,4,9,99,,,,"In Granite gap, Gentle S slope in granitic sand",,,,,,,,,,,,"w/ whitethorn, Opuntia spinosior, Eriogonum rotundifolium, Spermolepis, Cassia",,,,,,,,,,,,,,"United States","New Mexico",Hidalgo,,"About 12 miles S of Road Forks on U.S. Hwy. 80",,,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",53496,22,d3c2b7f2-f2b4-4e6c-8f30-43051844f827,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147007
147008,NMC,,,PreservedSpecimen,,43668,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"B. Veno",1982,,,,,,"R.W. Spellenberg and M. Spellenberg",,3036,1973-04-20,,1973,4,20,110,,,,"On a generally NE-facing slope; In sandy soil on outwash fans and on rocky hillside.",,,,,,,,,,,,"w/ Juniperus monospermus, Larrea, Prosopis, Mimosa.",,,,,,,,,,,,,,"United States","New Mexico",Hidalgo,,"About 500 m. N of U.S. hwy 80 in a low pass through the Peloncillo mts.",,,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",43668,22,e17a7092-bc4e-42f3-a837-ec8783fbfe5f,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147008
147009,NMC,,,PreservedSpecimen,,49952,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"R.W. Spellenberg, M. Spellenberg, J. Reitzel and B. Weber",,5079,1979-04-08,,1979,4,8,98,,,,"generally igneous rock with sparse oak, juniper, and mexican pinyon on rocky hills; on poen south facing slopes in Guadalupe canyon, about 100 m inside N.M.",,"corolla white",,,,,,,,,,,,,,,,,,,,,,,,"United States","New Mexico",Hidalgo,,"In the extreme SW corner of the county, in Guadalupe canyon and tributaries, on and in vicinity of Hadley Ranch",,,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",49952,22,45370fa5-b6a8-47bf-88a8-a326d735a686,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=147009
161890,ASU,Pollen,,PreservedSpecimen,73e780eb-21c9-4417-84d4-5d2d67175f83,1439,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"J. Schoenwetter",,1439,,,,,,,,,"J. Schoenwetter",,,,,,,,,,,,,,,,0,,,,,,,,,,,USA,Arizona,,,,,0,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",1588,10,73e780eb-21c9-4417-84d4-5d2d67175f83,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=161890
212660,USU,UTC,,PreservedSpecimen,USU:UTC:140834,UTC00140834,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"LC Higgins ",,6286,1973-03-24,,1973,3,24,83,,,,"Sandy soil; Larrea-desert shrub comm. ",,,,,,,,,,,,,,,0,,,,,,,,,,,"United States",Arizona,Pima,,"Along Hwy 86  91 mi E of Ajo ",,0,,,,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",140834,16,80212dba-60c4-4b37-8606-9c701d90f584,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=212660
241497,USU,UTC,,PreservedSpecimen,USU:UTC:234308,UTC00234308,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"A. C. Sanders ",,23850,2001-03-20,,2001,3,20,79,,,"flowers white ","common annual; on alluvial slope with sandy and gravelly surface ",,,,,,,,,,,,"creosote bush scrub ",,,0,,,,,,,,,,,"United States",California,Riverside,,"Western Colorado Desert: Coachella Vlly, Garnet, N side of 19th Ave, 0.5 mi(air) NW of intersxn of I-10 & Indian Ave. ",,0,,33.9105556,-116.5541667,,,,,,,,,235,,,,,,,,,"2023-07-16 07:02:03",234308,16,8581ef56-930b-4260-bb00-492975edca2b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=241497
253796,USU,UTC,,PreservedSpecimen,USU:UTC:247427,UTC00247427,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"Arnold Tiehm",,14677,2005-04-25,,2005,4,25,115,,,annual,"Plants growing with Larrea, Ambrosia on rocky hills.",,,,,,,,,,,,,flo,,0,,,,,,,,,,,"United States",Nevada,Nye,,"1.6 road miles S of Oasis Valley Road on road onEside of hills on E side of the Amargosa River.",,0,,37.0625,-116.7061111,,,,,,Label,,,1189,,,,,,,,,"2023-07-16 07:02:03",247427,16,0ae0c2f6-f9b5-409c-b2bf-5b80d37346fe,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=253796
