coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1092910,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00057/DES00057177_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00057/DES00057177_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00057/DES00057177_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00057/DES00057177.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Desert Botanical Garden Herbarium (DES-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:3228b6fd-6d68-4cb0-9962-bcd0e51b4fb3,"2012-03-07 23:34:23",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1092910,StillImage,Photograph,en
2092538,https://api.idigbio.org/v2/media/7a15a535bf37eeb4675bd50e65b1a609,https://api.idigbio.org/v2/media/7a15a535bf37eeb4675bd50e65b1a609,https://api.idigbio.org/v2/media/7a15a535bf37eeb4675bd50e65b1a609?size=thumbnail,https://api.idigbio.org/v2/media/7a15a535bf37eeb4675bd50e65b1a609?size=webview,http://creativecommons.org/licenses/by/3.0/,"Deaver Herbarium",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:4b578ca9-a932-4c17-9a22-a3604c845fda,"2018-11-26 17:29:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2092538,StillImage,Photograph,en
2092543,https://api.idigbio.org/v2/media/14d17d8b5552d5d12df5efcd4da7f511,https://api.idigbio.org/v2/media/14d17d8b5552d5d12df5efcd4da7f511,https://api.idigbio.org/v2/media/14d17d8b5552d5d12df5efcd4da7f511?size=thumbnail,https://api.idigbio.org/v2/media/14d17d8b5552d5d12df5efcd4da7f511?size=webview,http://creativecommons.org/licenses/by/3.0/,"Deaver Herbarium",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9b2566ec-f6cf-48eb-a1b3-d16f55353a1e,"2018-11-26 17:29:37",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2092543,StillImage,Photograph,en
2092545,https://api.idigbio.org/v2/media/ffffd39942fad6deb494c1e84d9a9fab,https://api.idigbio.org/v2/media/ffffd39942fad6deb494c1e84d9a9fab,https://api.idigbio.org/v2/media/ffffd39942fad6deb494c1e84d9a9fab?size=thumbnail,https://api.idigbio.org/v2/media/ffffd39942fad6deb494c1e84d9a9fab?size=webview,http://creativecommons.org/licenses/by/3.0/,"Deaver Herbarium",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:88ca8bd2-6605-4f9e-be3d-2a9989f7070b,"2018-11-26 17:29:38",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2092545,StillImage,Photograph,en
2789585,http://sweetgum.nybg.org/images3/2672/462/00043252.jpg,http://sweetgum.nybg.org/images3/2672/462/00043252.jpg,http://sweetgum.nybg.org/images3/2672/462/00043252.thumb.jpg,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8fe40b16-3760-4eb1-89b9-c6db21895af0,"2018-06-20 21:08:48",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2789585,StillImage,Photograph,en
3083911,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00003/DES00003349_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00003/DES00003349_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00003/DES00003349_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00003/DES00003349.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Desert Botanical Garden Herbarium (DES-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a7847144-1257-40a9-bc08-851e8471d17f,"2012-03-07 23:27:33",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3083911,StillImage,Photograph,en
3083921,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00006/DES00006209_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00006/DES00006209_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00006/DES00006209_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00006/DES00006209.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Desert Botanical Garden Herbarium (DES-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:bf2da286-668a-4e6b-9a7b-01995d244d35,"2012-03-07 23:27:48",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3083921,StillImage,Photograph,en
3083959,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00018/DES00018098_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00018/DES00018098_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00018/DES00018098_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00018/DES00018098.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Desert Botanical Garden Herbarium (DES-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:9cf71ce4-2fba-41f2-b70e-4c90408a27cd,"2012-03-07 23:28:59",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3083959,StillImage,Photograph,en
4142882,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642609.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642609.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201412/Pectocarya_recurvata_curvenut__1419369098_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642609.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"General Research Observations (SEINet)","Sue Carnahan","all rights reserved",,,"Salero Ranch, Santa Cruz Co., Arizona; 2/11/2014",urn:uuid:5b07b8fe-8a4e-460e-ae7c-8c062ebd9a9b,"2014-06-24 13:43:29",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4142882,StillImage,Photograph,en
4142882,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642633.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642633.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/misc/201412/Pectocarya_recurvata_curvenut__1419369098_0_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/SEINet/201406/Pectocarya_recurvata_curvenut__1403642633.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"General Research Observations (SEINet)","Sue Carnahan","all rights reserved",,,"Salero Ranch, Santa Cruz Co., Arizona; 2/11/2014",urn:uuid:4aa4f7c0-a8c9-4c0a-91d7-b5d5c1ab682e,"2014-06-24 13:43:53",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=4142882,StillImage,Photograph,en
