id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
5563862,ARIZ,,,PreservedSpecimen,urn:uuid:b1969e08-b570-4b97-9003-9dcbf5f5e5e1,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"F. Shreve",1935-04-19,,,,,,"F. Shreve",,7358,1935-04-19,,1935,4,19,109,,"April,19,1935",,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"15 mi SW of Tucson",,,,32.067609,-111.107783,,,,,,,,,,,,,,,,,,"2013-11-07 11:43:44",45760,2,8e8362ff-ffcb-42b9-8cef-e37259c2829a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563862
5563892,ARIZ,,,PreservedSpecimen,urn:uuid:395394e6-cbda-43a0-9944-5e26da8f1104,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"T. R. Van Devender",1988-02-25,,,,,,"T. R. Van Devender",,88-22,1988-02-25,,1988,2,25,56,56,"February,25,1988",,"On rocky W-facing slope",,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Gates Pass, Tucson Mountains",,,,32.228,-111.1049,,5000,"T14S R12E S10 10 SW1/4",,,,,,1005,,,,,"3300 ft.",,,,"2013-11-07 11:43:44",45793,2,5de39ee5-20b8-4ecd-a2a2-36ae8fe2a494,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563892
2092545,ASC,,,PreservedSpecimen,7679c371-2575-4983-a4e4-c4911da99162,ASC00050386,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"J. Gish",,59,1979-02-18,,1979,2,18,49,,,,Paloverde-Saguaro,,,,,,,,,,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Ambrosia deltoidea"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Encelia farinosa"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Simmondsia"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Fouquieria"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]",,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Ambrosia deltoidea"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Encelia farinosa"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Simmondsia"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Fouquieria"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]",flowers,,0,,,,,,,,,,,"United States",Arizona,Pima,,"Saguaro Rd N side off Rte 86 W of Tucson; SW slope of Golden Gate Mountain; Voucher for Sonoran Desert surface pollen rain study, Plot G",,,,32.2283,-111.1058,,1250,"T14S R12E S10 SW1/4",,,"LL from TRS- 050106",,,853,,,,,2800ft.,,,Karen,"2023-07-16 07:02:03",48328,3,7679c371-2575-4983-a4e4-c4911da99162,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2092545
5563904,ARIZ,,,PreservedSpecimen,urn:uuid:5417303c-fabe-468a-8b59-b1c7dd099cc6,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"R.J. Barr",1968-03-20,,,,,,"R. J. Barr",,68-110,1968-03-20,,1968,3,20,80,,"March,20,1968",,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Bopp Road, south end of Tucson Mountains",,,,32.23,-111.09694,,,,,,,,,,,,,,,,,,"2013-11-07 11:43:44",45807,2,39cdc684-a8c4-42e5-a795-a2419ffcac73,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563904
5563911,ARIZ,,,PreservedSpecimen,urn:uuid:a594aac1-ff43-4216-ac1d-4263cba29ab3,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"J.J. Thornber",1906-12-01,,,,,,"J. J. Thornber",,5488,1906-03-00,,1906,3,0,,,"28 February ; 1,1906","SYN:Pectocarya penicillata M.& A.",,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Tucson Mountains",,,,32.2301,-111.0982,,10000,,,,,,,792,,,,,"2600 ft.",,,,"2013-11-07 11:43:44",45815,2,824a9b53-eb3b-4943-9603-97201d1f7264,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563911
5563913,ARIZ,,,PreservedSpecimen,urn:uuid:52a779fd-c2d6-48d6-a74c-66e541637213,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"J.J. Thornber",1906-07-14,,,,,,"J. J. Thornber",,s.n.,1906-07-14,,1906,7,14,195,,"July,14,1906",,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Tucson Mountains, Tucson",,,,32.2301,-111.0982,,10000,,,,,,,792,,,,,"2600 ft.",,,,"2013-11-07 11:43:44",45818,2,697466dd-280a-4557-90bc-a823547ccfeb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563913
5563928,ARIZ,,,PreservedSpecimen,urn:uuid:d075282d-5d1d-4e38-ac15-98b6eafa01d7,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"J.J. Thornber",1903-02-28,,,,,,"J. J. Thornber",,5488,1903-02-28,,1903,2,28,59,59,"February,28,1903",,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Tucson Mountains, Tucson",,,,32.2301,-111.0982,,10000,,,,,,,,,,,,,,,,"2013-11-07 11:43:44",45834,2,0e37e5fe-fcd9-442a-afd0-2fedbf4c9087,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563928
400410,UCR,,,PreservedSpecimen,UCR-BPS-128438,,UCR-128438,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"R.W. Raught",,21,1953-03-12,,1953,3,12,71,,1953-3-12,"Small annual, fls. white, inconspicuous, pedicels recurving at maturity.","Soil: gravelly loam on basaltic lava rocks. Assn: palo verde & creosote bush. East exposed slopes at side of road cut.",,,,,,,,,,,,,"Flowering & Fruiting",,,,,,,,,,,,,"United States",Arizona,Pima,,"Rattlesnake Pass, Tucson Mountains",,0,,32.20456,-111.11172,,,,,,BCGeoReferenced,,,915,,,,,,,,,"2025-01-18 18:23:43",1542162,9,177c9257-3f90-4183-9b0d-5db0c6a2da4d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=400410
5563897,ARIZ,,,PreservedSpecimen,urn:uuid:6f240192-baa5-476e-94bc-4b5c4c019781,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"K. Reichhardt",1985-03-13,,,,,,"K. Reichhardt",,85-29,1985-03-13,,1985,3,13,72,,"March,13,1985",,,,,,,,,,,,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Carnegiea"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Cercidium"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]",,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Carnegiea"",""type"":""genericObservation""},{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Cercidium"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]",,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Bajada of Tortolita Mountains, E of Marana",,,,32.4749,-111.225,,5000,"T11S R11E S",,,,,,,,,,,,,,,"2013-11-07 11:43:44",45798,2,73b2ccb1-0e4d-4b5c-b61b-05225d85239b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563897
1941994,MNA,,,PreservedSpecimen,5b11f027-5ef2-483b-b892-dbd758f9bacc,B.29046,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"Bensusan, D.E.",,,,,,,"Phillips, A.",,78-383,1978-04-05,,1978,4,5,95,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,USA,Arizona,"Pima County",,"Sandario Rd. .5 mi. N of jct AZ-86. Roadside in red sandy soil. Nutlets reflexed. SW1/4, Sec.15, T15S, R11E.",,0,,32.124742,-111.215525,WGS84,969,"TRS: T15S R11E sec",,,GeoLocate,,,,,,,,"ca. 2420'",,,,"2023-07-16 07:02:03",29046,103,5b11f027-5ef2-483b-b892-dbd758f9bacc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1941994
