"","site","order","trip","mean_SLA","median_SLA","mean_temp","mean_precip","mean_VPD","elevation"
"1","AJ","three","two",19.3183962683333,19.11362802,17.66388889,97.8662,25.24067,1974
"2","BM","two","one",14.6423421272111,14.47568432,15.16851667,125.3236,23.12017,2778
"3","HL","ten","five",15.3608314972222,14.707387415,16.16667,78.867,23.215,1972
"4","LP","five","two",20.3355624852222,20.274973445,16.06851667,173.4058,23.41333,1702
"5","OV","one","one",21.6603650285556,22.1568281,15.36111111,156.7434,23.72717,2499
"6","PL","eight","four",15.4589387959375,15.236393745,10.95,121.0056,19.4205,4383
"7","SD","seven","three",14.2052525841573,13.42177999,14.15370556,105.3592,23.744,1918
"8","TA","four","two",19.0403423885246,18.93979058,14.18703889,166.2684,20.71733,2724
"9","VJ","nine","five",12.9646985207528,12.57291667,15.79073889,75.1332,25.11,1190
"10","WP","six","two",18.7573233605556,18.7918387,14.62777778,188.7728,20.37833,3265
"11","WU","eleven","five",14.7170093270556,14.76763855,13.53148333,127.4318,23.14317,2030
